From	To
1433B_HUMAN	YWHAB
1433E_HUMAN	YWHAE
1433F_HUMAN	YWHAH
1433G_HUMAN	YWHAG
1433T_HUMAN	YWHAQ
1433Z_HUMAN	YWHAZ
2A5A_HUMAN	PPP2R5A
2A5D_HUMAN	PPP2R5D
2A5E_HUMAN	PPP2R5E
2AAA_HUMAN	PPP2R1A
2ABA_HUMAN	PPP2R2A
3HIDH_HUMAN	HIBADH
4F2_HUMAN	SLC3A2
5NT1A_HUMAN	NT5C1A
5NT3A_HUMAN	NT5C3A
5NTC_HUMAN	NT5C2
5NTD_HUMAN	NT5E
6PGD_HUMAN	PGD
6PGL_HUMAN	PGLS
A16A1_HUMAN	ALDH16A1
A1AG1_HUMAN	ORM1
A1AG2_HUMAN	ORM2
A1AT_HUMAN	SERPINA1
A1BG_HUMAN	A1BG
A2AP_HUMAN	SERPINF2
A2GL_HUMAN	LRG1
A2MG_HUMAN	A2M
AAAS_HUMAN	AAAS
AACT_HUMAN	SERPINA3
AAKB2_HUMAN	PRKAB2
AAKG1_HUMAN	PRKAG1
AAKG2_HUMAN	PRKAG2
AAKG3_HUMAN	PRKAG3
AAMDC_HUMAN	AAMDC
AAMP_HUMAN	AAMP
AAPK1_HUMAN	PRKAA1
AAPK2_HUMAN	PRKAA2
AASD1_HUMAN	AARSD1
AASS_HUMAN	AASS
AATC_HUMAN	GOT1
AATM_HUMAN	GOT2
ABCA5_HUMAN	ABCA5
ABCA8_HUMAN	ABCA8
ABCB6_HUMAN	ABCB6
ABCB7_HUMAN	ABCB7
ABCBA_HUMAN	ABCB10
ABCC9_HUMAN	ABCC9
ABCD1_HUMAN	ABCD1
ABCD3_HUMAN	ABCD3
ABCE1_HUMAN	ABCE1
ABCF1_HUMAN	ABCF1
ABCF2_HUMAN	ABCF2
ABCF3_HUMAN	ABCF3
ABEC2_HUMAN	APOBEC2
ABHD5_HUMAN	ABHD5
ABHDA_HUMAN	ABHD10
ABHDB_HUMAN	ABHD11
ABHEB_HUMAN	ABHD14B
ABHGA_HUMAN	ABHD16A
ABI1_HUMAN	ABI1
ABL1_HUMAN	ABL1
ABLM1_HUMAN	ABLIM1
ABLM2_HUMAN	ABLIM2
ABRA_HUMAN	ABRA
ACACB_HUMAN	ACACB
ACAD8_HUMAN	ACAD8
ACAD9_HUMAN	ACAD9
ACADM_HUMAN	ACADM
ACADS_HUMAN	ACADS
ACADV_HUMAN	ACADVL
ACBP_HUMAN	DBI
ACDSB_HUMAN	ACADSB
ACE_HUMAN	ACE
ACES_HUMAN	ACHE
ACINU_HUMAN	ACIN1
ACL6A_HUMAN	ACTL6A
ACLY_HUMAN	ACLY
ACO11_HUMAN	ACOT11
ACO13_HUMAN	ACOT13
ACOC_HUMAN	ACO1
ACON_HUMAN	ACO2
ACOT2_HUMAN	ACOT2
ACOT9_HUMAN	ACOT9
ACOX1_HUMAN	ACOX1
ACPH_HUMAN	APEH
ACPM_HUMAN	NDUFAB1
ACS2L_HUMAN	ACSS1
ACSA_HUMAN	ACSS2
ACSF2_HUMAN	ACSF2
ACSF3_HUMAN	ACSF3
ACSL1_HUMAN	ACSL1
ACSL3_HUMAN	ACSL3
ACSL4_HUMAN	ACSL4
ACSS3_HUMAN	ACSS3
ACTBL_HUMAN	ACTBL2
ACTBM_HUMAN	POTEKP
ACTH_HUMAN	ACTG2
ACTN1_HUMAN	ACTN1
ACTN2_HUMAN	ACTN2
ACTN3_HUMAN	ACTN3
ACTN4_HUMAN	ACTN4
ACTS_HUMAN	ACTA1
ACTY_HUMAN	ACTR1B
ACTZ_HUMAN	ACTR1A
ACY1_HUMAN	ACY1
ACY2_HUMAN	ASPA
ACYP2_HUMAN	ACYP2
ADA_HUMAN	ADA
ADAL_HUMAN	ADAL
ADAS_HUMAN	AGPS
ADDA_HUMAN	ADD1
ADDB_HUMAN	ADD2
ADDG_HUMAN	ADD3
ADH1B_HUMAN	ADH1B
ADHX_HUMAN	ADH5
ADIPO_HUMAN	ADIPOQ
ADIRF_HUMAN	ADIRF
ADK_HUMAN	ADK
ADPPT_HUMAN	AASDHPPT
ADRM1_HUMAN	ADRM1
ADRO_HUMAN	FDXR
ADT1_HUMAN	SLC25A4
ADT2_HUMAN	SLC25A5
ADT3_HUMAN	SLC25A6
ADX_HUMAN	FDX1
AEDO_HUMAN	ADO
AFAM_HUMAN	AFM
AFG32_HUMAN	AFG3L2
AGFG1_HUMAN	AGFG1
AGK_HUMAN	AGK
AGM1_HUMAN	PGM3
AGO1_HUMAN	AGO1
AGO2_HUMAN	AGO2
AGO3_HUMAN	AGO3
AGRIN_HUMAN	AGRN
AHNK_HUMAN	AHNAK
AHSA1_HUMAN	AHSA1
AHSP_HUMAN	AHSP
AIDA_HUMAN	AIDA
AIF1L_HUMAN	AIF1L
AIFM1_HUMAN	AIFM1
AIMP1_HUMAN	AIMP1
AIMP2_HUMAN	AIMP2
AK1A1_HUMAN	AKR1A1
AK1C2_HUMAN	AKR1C2
AK1C3_HUMAN	AKR1C3
AKA12_HUMAN	AKAP12
AKAP1_HUMAN	AKAP1
AKAP2_HUMAN	AKAP2
AKAP9_HUMAN	AKAP9
AKT1_HUMAN	AKT1
AKT2_HUMAN	AKT2
AKTS1_HUMAN	AKT1S1
AL1A1_HUMAN	ALDH1A1
AL1A2_HUMAN	ALDH1A2
AL1B1_HUMAN	ALDH1B1
AL1L1_HUMAN	ALDH1L1
AL3A2_HUMAN	ALDH3A2
AL4A1_HUMAN	ALDH4A1
AL7A1_HUMAN	ALDH7A1
AL9A1_HUMAN	ALDH9A1
ALAT1_HUMAN	GPT
ALAT2_HUMAN	GPT2
ALDH2_HUMAN	ALDH2
ALDOA_HUMAN	ALDOA
ALDOC_HUMAN	ALDOC
ALDR_HUMAN	AKR1B1
ALG5_HUMAN	ALG5
ALG9_HUMAN	ALG9
ALPK3_HUMAN	ALPK3
ALR_HUMAN	GFER
ALS_HUMAN	IGFALS
ALS2_HUMAN	ALS2
AMBP_HUMAN	AMBP
AMPB_HUMAN	RNPEP
AMPD1_HUMAN	AMPD1
AMPD3_HUMAN	AMPD3
AMPL_HUMAN	LAP3
AMRP_HUMAN	LRPAP1
AN32A_HUMAN	ANP32A
AN32B_HUMAN	ANP32B
AN32E_HUMAN	ANP32E
ANFY1_HUMAN	ANKFY1
ANGT_HUMAN	AGT
ANK1_HUMAN	ANK1
ANK2_HUMAN	ANK2
ANK3_HUMAN	ANK3
ANKR1_HUMAN	ANKRD1
ANKR2_HUMAN	ANKRD2
ANKY2_HUMAN	ANKMY2
ANM1_HUMAN	PRMT1
ANM5_HUMAN	PRMT5
ANO10_HUMAN	ANO10
ANO6_HUMAN	ANO6
ANR28_HUMAN	ANKRD28
ANR35_HUMAN	ANKRD35
ANX11_HUMAN	ANXA11
ANXA1_HUMAN	ANXA1
ANXA2_HUMAN	ANXA2
ANXA3_HUMAN	ANXA3
ANXA4_HUMAN	ANXA4
ANXA6_HUMAN	ANXA6
ANXA7_HUMAN	ANXA7
AOC3_HUMAN	AOC3
AOFA_HUMAN	MAOA
AOFB_HUMAN	MAOB
AP1B1_HUMAN	AP1B1
AP1G1_HUMAN	AP1G1
AP1M1_HUMAN	AP1M1
AP2A1_HUMAN	AP2A1
AP2A2_HUMAN	AP2A2
AP2B1_HUMAN	AP2B1
AP2M1_HUMAN	AP2M1
AP3M1_HUMAN	AP3M1
AP4A_HUMAN	NUDT2
APEX1_HUMAN	APEX1
API5_HUMAN	API5
APMAP_HUMAN	APMAP
APOA_HUMAN	LPA
APOA1_HUMAN	APOA1
APOA2_HUMAN	APOA2
APOA4_HUMAN	APOA4
APOB_HUMAN	APOB
APOC1_HUMAN	APOC1
APOC2_HUMAN	APOC2
APOC3_HUMAN	APOC3
APOD_HUMAN	APOD
APOE_HUMAN	APOE
APOH_HUMAN	APOH
APOL1_HUMAN	APOL1
APOL2_HUMAN	APOL2
APT_HUMAN	APRT
AQP4_HUMAN	AQP4
ARAF_HUMAN	ARAF
ARAP1_HUMAN	ARAP1
ARBK1_HUMAN	GRK2
ARC1A_HUMAN	ARPC1A
ARF4_HUMAN	ARF4
ARF5_HUMAN	ARF5
ARF6_HUMAN	ARF6
ARFG2_HUMAN	ARFGAP2
ARGAL_HUMAN	ARHGEF10L
ARGI1_HUMAN	ARG1
ARHG6_HUMAN	ARHGEF6
ARHG7_HUMAN	ARHGEF7
ARHL1_HUMAN	ADPRHL1
ARI1_HUMAN	ARIH1
ARI2_HUMAN	ARIH2
ARK72_HUMAN	AKR7A2
ARL1_HUMAN	ARL1
ARL2_HUMAN	ARL2
ARL3_HUMAN	ARL3
ARL8A_HUMAN	ARL8A
ARL8B_HUMAN	ARL8B
ARLY_HUMAN	ASL
ARMC1_HUMAN	ARMC1
ARMC6_HUMAN	ARMC6
ARMC8_HUMAN	ARMC8
ARMT1_HUMAN	ARMT1
ARMX2_HUMAN	ARMCX2
ARP10_HUMAN	ACTR10
ARP2_HUMAN	ACTR2
ARP3_HUMAN	ACTR3
ARP5L_HUMAN	ARPC5L
ARPC2_HUMAN	ARPC2
ARPC3_HUMAN	ARPC3
ARPC4_HUMAN	ARPC4
ARPC5_HUMAN	ARPC5
ARRB1_HUMAN	ARRB1
ARVC_HUMAN	ARVCF
AS3MT_HUMAN	AS3MT
ASAH1_HUMAN	ASAH1
ASB1_HUMAN	ASB1
ASB10_HUMAN	ASB10
ASB14_HUMAN	ASB14
ASB15_HUMAN	ASB15
ASB2_HUMAN	ASB2
ASB8_HUMAN	ASB8
ASML_HUMAN	ASMTL
ASPC1_HUMAN	ASPSCR1
ASPH_HUMAN	ASPH
ASPN_HUMAN	ASPN
ASSY_HUMAN	ASS1
AT131_HUMAN	ATP13A1
AT1A1_HUMAN	ATP1A1
AT1A2_HUMAN	ATP1A2
AT1B1_HUMAN	ATP1B1
AT1B4_HUMAN	ATP1B4
AT2A1_HUMAN	ATP2A1
AT2A2_HUMAN	ATP2A2
AT2A3_HUMAN	ATP2A3
AT2B1_HUMAN	ATP2B1
AT2B2_HUMAN	ATP2B2
AT2B4_HUMAN	ATP2B4
AT2L2_HUMAN	PHYKPL
AT5F1_HUMAN	ATP5PB
AT8A1_HUMAN	ATP8A1
ATAD1_HUMAN	ATAD1
ATD3A_HUMAN	ATAD3A
ATE1_HUMAN	ATE1
ATG3_HUMAN	ATG3
ATG4B_HUMAN	ATG4B
ATG7_HUMAN	ATG7
ATG9A_HUMAN	ATG9A
ATIF1_HUMAN	ATP5IF1
ATLA2_HUMAN	ATL2
ATLA3_HUMAN	ATL3
ATOX1_HUMAN	ATOX1
ATP5H_HUMAN	ATP5PD
ATP5I_HUMAN	ATP5ME
ATP5L_HUMAN	ATP5MG
ATP5S_HUMAN	DMAC2L
ATP8_HUMAN	MT-ATP8
ATPA_HUMAN	ATP5F1A
ATPB_HUMAN	ATP5F1B
ATPD_HUMAN	ATP5F1D
ATPF1_HUMAN	ATPAF1
ATPF2_HUMAN	ATPAF2
ATPG_HUMAN	ATP5F1C
ATPK_HUMAN	ATP5MF
ATPO_HUMAN	ATP5PO
ATRN_HUMAN	ATRN
ATX10_HUMAN	ATXN10
ATX2_HUMAN	ATXN2
ATX2L_HUMAN	ATXN2L
AUHM_HUMAN	AUH
AUP1_HUMAN	AUP1
AVEN_HUMAN	AVEN
B2L13_HUMAN	BCL2L13
B3AT_HUMAN	SLC4A1
BAF_HUMAN	BANF1
BAG2_HUMAN	BAG2
BAG3_HUMAN	BAG3
BAG5_HUMAN	BAG5
BAG6_HUMAN	BAG6
BAP29_HUMAN	BCAP29
BAP31_HUMAN	BCAP31
BASI_HUMAN	BSG
BAX_HUMAN	BAX
BCAM_HUMAN	BCAM
BCAR1_HUMAN	BCAR1
BCAT2_HUMAN	BCAT2
BCCIP_HUMAN	BCCIP
BCDO2_HUMAN	BCO2
BCKD_HUMAN	BCKDK
BCLF1_HUMAN	BCLAF1
BCS1_HUMAN	BCS1L
BD1L1_HUMAN	BOD1L1
BDH_HUMAN	BDH1
BGH3_HUMAN	TGFBI
BIEA_HUMAN	BLVRA
BIN1_HUMAN	BIN1
BIRC6_HUMAN	BIRC6
