""	"Name"	"Genes (tot)"	"Stat (dist.dir.up)"	"p (dist.dir.up)"	"p adj (dist.dir.up)"	"Stat (dist.dir.dn)"	"p (dist.dir.dn)"	"p adj (dist.dir.dn)"	"Stat (non-dir.)"	"p (non-dir.)"	"p adj (non-dir.)"	"Genes (up)"	"Stat (mix.dir.up)"	"p (mix.dir.up)"	"p adj (mix.dir.up)"	"Genes (down)"	"Stat (mix.dir.dn)"	"p (mix.dir.dn)"	"p adj (mix.dir.dn)"
"1"	"ABC transporters"	11	-0.37855	0.78071	0.9963	0.37855	0.21929	0.93786	-14.11	0.87703	0.99992	5	-15.054	0.98953	0.99785	6	-5.3625	0.31653	0.87169
"2"	"AGE-RAGE signaling pathway in diabetic complications"	39	-0.12066	0.58282	0.93559	0.12066	0.41718	1	-17.589	0.36088	0.72932	18	-12.505	0.39954	0.73853	21	-12.393	0.4121	0.93776
"3"	"AMPK signaling pathway"	56	0.49118	0.1609	0.61344	-0.49118	0.8391	1	-20.82	0.30168	0.63456	27	-10.19	0.038622	0.3246	29	-19.099	0.84091	0.99976
"4"	"Acute myeloid leukemia"	28	0.17278	0.35173	0.85764	-0.17278	0.64827	1	-19.613	0.83174	0.99992	14	-12.786	0.63491	0.86254	14	-14.951	0.87624	0.99976
"5"	"Adherens junction"	32	0.51115	0.15492	0.59809	-0.51115	0.84508	1	-15.452	0.30498	0.63711	19	-13.575	0.50405	0.79128	13	-7.8327	0.22935	0.78406
"6"	"Adipocytokine signaling pathway"	31	0.88906	0.042422	0.3009	-0.88906	0.95758	1	-19.036	0.74683	0.99992	16	-8.9678	0.15721	0.51814	15	-18.105	0.97649	0.99976
"7"	"Adrenergic signaling in cardiomyocytes"	57	0.60095	0.1045	0.50174	-0.60095	0.8955	1	-16.054	0.023439	0.24442	30	-11.333	0.056682	0.34702	27	-11.379	0.13901	0.69269
"8"	"African trypanosomiasis"	14	1.8506	0.00014432	0.0084097	-1.8506	0.99986	1	-5.3852	0.047209	0.29493	13	-3.3116	0.013235	0.20688	1	-8.2095	0.93497	0.99976
"9"	"Alanine, aspartate and glutamate metabolism"	16	-0.68089	0.89974	1	0.68089	0.10026	0.7649	-6.2212	0.044842	0.29493	6	-6.104	0.32268	0.69953	10	-3.1412	0.039701	0.47053
"10"	"Alcoholism"	29	0.91296	0.026621	0.23881	-0.91296	0.97338	1	-12.664	0.13634	0.45201	17	-10.472	0.24587	0.59854	12	-7.223	0.20313	0.78406
"11"	"Aldosterone synthesis and secretion"	24	-0.34854	0.75911	0.99213	0.34854	0.24089	0.93786	-11.156	0.16273	0.47723	13	-10.213	0.39018	0.73853	11	-5.3768	0.10784	0.65465
"12"	"Aldosterone-regulated sodium reabsorption"	16	-0.62393	0.87889	1	0.62393	0.12111	0.79292	-11.263	0.39272	0.75809	6	-4.6499	0.19671	0.55641	10	-10.645	0.65598	0.99976
"13"	"Allograft rejection"	4	0.0098371	0.47531	0.88954	-0.0098371	0.52469	1	-8.8063	0.77687	0.99992	2	-6.2114	0.69287	0.87557	2	-6.2426	0.74938	0.99976
"14"	"Alzheimer disease"	113	-0.55502	0.85348	1	0.55502	0.14652	0.83335	-21.549	0.0011794	0.05837	42	-14.831	0.051187	0.34702	71	-15.778	0.0062255	0.28965
"15"	"Amino sugar and nucleotide sugar metabolism"	27	-1.1896	0.98975	1	1.1896	0.010246	0.24038	-7.8103	0.01303	0.18392	14	-10.684	0.39931	0.73853	13	-0.16865	0.0015432	0.09288
"16"	"Aminoacyl-tRNA biosynthesis"	21	0.42427	0.19326	0.65758	-0.42427	0.80674	1	-10.946	0.21001	0.54283	14	-9.4424	0.2711	0.63901	7	-5.6052	0.27925	0.8504
"17"	"Amoebiasis"	42	0.23521	0.3176	0.82329	-0.23521	0.6824	1	-16.992	0.22866	0.56242	25	-15.376	0.48585	0.78852	17	-8.0611	0.13277	0.68479
"18"	"Amphetamine addiction"	20	-0.36615	0.76678	0.99213	0.36615	0.23322	0.93786	-7.281	0.040354	0.28913	9	-6.38	0.19663	0.55641	11	-4.0467	0.051305	0.47473
"19"	"Amyotrophic lateral sclerosis (ALS)"	21	-0.30235	0.71951	0.99213	0.30235	0.28049	0.97306	-7.9132	0.048611	0.29653	9	-4.6614	0.088786	0.41054	12	-6.4312	0.14571	0.70228
"20"	"Antigen processing and presentation"	24	0.17436	0.37418	0.85764	-0.17436	0.62582	1	-11.346	0.17653	0.49854	15	-9.1443	0.20463	0.56273	9	-6.723	0.28925	0.8504
"21"	"Apelin signaling pathway"	54	1.6571	0.00055349	0.021628	-1.6571	0.99945	1	-20.169	0.27006	0.61304	35	-15.156	0.17401	0.53531	19	-13.432	0.60607	0.99976
"22"	"Apoptosis"	49	0.40707	0.19638	0.65821	-0.40707	0.80362	1	-24.954	0.87528	0.99992	22	-14.692	0.47255	0.77929	27	-20.355	0.93689	0.99976
"23"	"Arachidonic acid metabolism"	15	-0.16877	0.62311	0.96748	0.16877	0.37689	1	-11.139	0.42961	0.79413	5	-2.4014	0.092766	0.41309	10	-11.944	0.78079	0.99976
"24"	"Arginine and proline metabolism"	27	0.41489	0.21231	0.67452	-0.41489	0.78769	1	-6.5578	0.0049582	0.13947	14	-4.3372	0.019374	0.23975	13	-4.9499	0.057594	0.49802
"25"	"Arginine biosynthesis"	11	-0.24036	0.69124	0.99213	0.24036	0.30876	0.97306	-5.3031	0.089	0.40403	5	-6.7931	0.47492	0.77929	6	-0.97916	0.043212	0.47053
"26"	"Arrhythmogenic right ventricular cardiomyopathy (ARVC)"	36	0.25712	0.31419	0.82329	-0.25712	0.68581	1	-16.556	0.31933	0.65807	19	-10.843	0.22572	0.57298	17	-12.629	0.57367	0.99976
"27"	"Ascorbate and aldarate metabolism"	6	2.0152	4.5623e-05	0.0034787	-2.0152	0.99995	1	-3.1166	0.097861	0.40403	5	0.2574	0.018429	0.23797	1	-8.2095	0.93497	0.99976
"28"	"Asthma"	2	-0.24216	0.68089	0.99213	0.24216	0.31911	0.9733	-6.2426	0.71928	0.99992	0				2	-6.2426	0.74938	0.99976
"29"	"Autoimmune thyroid disease"	4	0.0098371	0.47531	0.88954	-0.0098371	0.52469	1	-8.8063	0.77687	0.99992	2	-6.2114	0.69287	0.87557	2	-6.2426	0.74938	0.99976
"30"	"Autophagy"	56	0.63635	0.098152	0.49894	-0.63635	0.90185	1	-26.451	0.86817	0.99992	27	-16.426	0.50613	0.79128	29	-20.908	0.93342	0.99976
"31"	"Axon guidance"	55	-0.19349	0.65783	0.99154	0.19349	0.34217	1	-23.261	0.60659	0.96986	28	-18.336	0.68505	0.87557	27	-14.527	0.43329	0.93776
"32"	"B cell receptor signaling pathway"	27	-0.43295	0.80177	0.99933	0.43295	0.19823	0.93786	-19.211	0.83938	0.99992	13	-14.964	0.85475	0.95437	14	-12.26	0.65037	0.99976
"33"	"Bacterial invasion of epithelial cells"	42	0.65118	0.096825	0.49894	-0.65118	0.90318	1	-18.751	0.40436	0.76602	25	-14.674	0.40495	0.73853	17	-11.678	0.4662	0.93776
"34"	"Basal cell carcinoma"	4	0.01492	0.47112	0.88954	-0.01492	0.52888	1	-13.305	0.97933	0.99992	3	-10.623	0.93232	0.98191	1	-8.2095	0.93497	0.99976
"35"	"Basal transcription factors"	4	2.1076	5.2704e-06	0.00053582	-2.1076	0.99999	1	-6.4028	0.53134	0.90535	4	-6.4028	0.51972	0.79128	0			
"36"	"Base excision repair"	8	0.78508	0.052843	0.35037	-0.78508	0.94716	1	-14.998	0.96385	0.99992	5	-10.572	0.84663	0.95437	3	-10.844	0.95124	0.99976
"37"	"Bile secretion"	15	-0.36531	0.75833	0.99213	0.36531	0.24167	0.93786	-9.7505	0.28662	0.62747	9	-9.5267	0.52066	0.79128	6	-3.749	0.17546	0.76131
"38"	"Biosynthesis of unsaturated fatty acids"	11	-0.33956	0.75708	0.99213	0.33956	0.24292	0.93786	-9.378	0.42589	0.79204	3	-1.5974	0.13985	0.48592	8	-10.018	0.69467	0.99976
"39"	"Bladder cancer"	12	-0.080411	0.55001	0.92173	0.080411	0.44999	1	-11.782	0.63827	0.98389	7	-8.5315	0.52752	0.79128	5	-8.1576	0.71305	0.99976
"40"	"Breast cancer"	22	0.014058	0.48614	0.88954	-0.014058	0.51386	1	-20.196	0.95772	0.99992	12	-14.333	0.84517	0.95437	10	-14.253	0.92482	0.99976
"41"	"Butanoate metabolism"	16	1.6073	0.00077638	0.023163	-1.6073	0.99922	1	-8.7174	0.16069	0.47584	11	-2.6106	0.014369	0.21073	5	-11.722	0.94957	0.99976
"42"	"C-type lectin receptor signaling pathway"	33	-0.16192	0.63541	0.96973	0.16192	0.36459	1	-18.659	0.63872	0.98389	15	-11.533	0.447	0.76297	18	-14.737	0.74328	0.99976
"43"	"Calcium signaling pathway"	51	-0.44081	0.80602	0.99933	0.44081	0.19398	0.93786	-14.455	0.024041	0.24442	24	-12.113	0.19935	0.55855	27	-8.4465	0.02625	0.3746
"44"	"Carbohydrate digestion and absorption"	12	-0.29556	0.70323	0.99213	0.29556	0.29677	0.97306	-6.7982	0.13603	0.45201	6	-6.641	0.37637	0.73853	6	-2.9731	0.1247	0.67723
"45"	"Cardiac muscle contraction"	41	-0.050471	0.51706	0.89097	0.050471	0.48294	1	-10.899	0.0079968	0.17422	16	-5.3903	0.023406	0.25261	25	-9.645	0.092815	0.64242
"46"	"Cell adhesion molecules (CAMs)"	24	0.052977	0.46691	0.88954	-0.052977	0.53309	1	-24.291	0.99744	0.99992	11	-16.248	0.95986	0.99785	13	-18.059	0.98674	0.99976
"47"	"Cell cycle"	32	0.16478	0.37174	0.85764	-0.16478	0.62826	1	-26.533	0.99604	0.99992	20	-23.308	0.99449	0.99785	12	-13.238	0.80922	0.99976
"48"	"Cellular senescence"	49	0.29289	0.26383	0.76187	-0.29289	0.73617	1	-17.88	0.16905	0.49106	28	-14.916	0.30688	0.68529	21	-10.089	0.18668	0.78226
"49"	"Central carbon metabolism in cancer"	33	-0.36561	0.76538	0.99213	0.36561	0.23462	0.93786	-13.724	0.15324	0.4696	16	-11.828	0.41255	0.73853	17	-7.6466	0.10911	0.65465
"50"	"Chagas disease (American trypanosomiasis)"	33	0.60297	0.142	0.58528	-0.60297	0.858	1	-20.183	0.78238	0.99992	18	-12.518	0.40095	0.73853	15	-16.223	0.9254	0.99976
"51"	"Chemical carcinogenesis"	21	0.28608	0.27737	0.7833	-0.28608	0.72263	1	-8.4761	0.066768	0.34516	10	-2.0592	0.012209	0.20688	11	-9.748	0.52299	0.98598
"52"	"Chemokine signaling pathway"	50	0.86958	0.04168	0.3009	-0.86958	0.95832	1	-25.447	0.88164	0.99992	28	-17.871	0.63601	0.86254	22	-18.202	0.90964	0.99976
"53"	"Cholesterol metabolism"	21	0.94314	0.028752	0.24582	-0.94314	0.97125	1	-7.126	0.030078	0.26802	15	-5.2999	0.026246	0.25984	6	-4.9516	0.27646	0.8504
"54"	"Choline metabolism in cancer"	35	-0.30604	0.73522	0.99213	0.30604	0.26478	0.943	-20.345	0.74932	0.99992	14	-11.811	0.52657	0.79128	21	-16.622	0.84244	0.99976
"55"	"Cholinergic synapse"	30	0.012179	0.47714	0.88954	-0.012179	0.52286	1	-15.753	0.40049	0.76344	16	-11.83	0.41278	0.73853	14	-10.414	0.44356	0.93776
"56"	"Chronic myeloid leukemia"	30	0.45666	0.17615	0.63542	-0.45666	0.82385	1	-21.697	0.93067	0.99992	16	-15.442	0.77967	0.92187	14	-15.254	0.89309	0.99976
"57"	"Circadian entrainment"	29	0.22377	0.28604	0.78595	-0.22377	0.71396	1	-12.377	0.11936	0.42828	14	-7.3476	0.11362	0.44453	15	-10.111	0.37317	0.9067
