""	"Name"	"Genes (tot)"	"Stat (dist.dir.up)"	"p (dist.dir.up)"	"p adj (dist.dir.up)"	"Stat (dist.dir.dn)"	"p (dist.dir.dn)"	"p adj (dist.dir.dn)"	"Stat (non-dir.)"	"p (non-dir.)"	"p adj (non-dir.)"	"Genes (up)"	"Stat (mix.dir.up)"	"p (mix.dir.up)"	"p adj (mix.dir.up)"	"Genes (down)"	"Stat (mix.dir.dn)"	"p (mix.dir.dn)"	"p adj (mix.dir.dn)"
"1"	"ABC transporters"	11	1.9225	0.12535	0.84962	-1.9225	0.87465	1	-11.614	0.88104	0.99991	5	-1.7295	0.26124	0.99991	6	-14.146	0.98503	0.99894
"2"	"AGE-RAGE signaling pathway in diabetic complications"	39	-0.28274	0.74683	1	0.28274	0.25317	0.43413	-13.97	0.55766	0.99991	14	-4.9474	0.31808	0.99991	25	-13.746	0.71596	0.94563
"3"	"AMPK signaling pathway"	56	-1.1648	0.92819	1	1.1648	0.071814	0.16295	-15.008	0.41579	0.91549	21	-9.2805	0.53403	0.99991	35	-11.795	0.32105	0.6656
"4"	"Acute myeloid leukemia"	28	-1.9643	0.97232	1	1.9643	0.027677	0.087932	-16.54	0.9074	0.99991	9	-9.6505	0.8188	0.99991	19	-13.437	0.81389	0.9829
"5"	"Adherens junction"	32	-0.8189	0.8516	1	0.8189	0.1484	0.29013	-12.504	0.55755	0.99991	15	-11.437	0.81624	0.99991	17	-6.4127	0.22132	0.66099
"6"	"Adipocytokine signaling pathway"	31	1.0968	0.36286	1	-1.0968	0.63714	0.82857	-15.768	0.80733	0.99991	17	-10.059	0.66478	0.99991	14	-12.379	0.83804	0.9829
"7"	"Adrenergic signaling in cardiomyocytes"	57	-4.6857	0.99997	1	4.6857	3.2161e-05	0.0018432	-10.674	0.085532	0.46584	14	-4.7196	0.30001	0.99991	43	-9.5966	0.085579	0.51269
"8"	"African trypanosomiasis"	14	-1.7114	0.94855	1	1.7114	0.051453	0.13413	-4.0046	0.16475	0.68832	4	-4.4422	0.54077	0.99991	10	-1.9288	0.080952	0.51269
"9"	"Alanine, aspartate and glutamate metabolism"	16	5.8163	2.4792e-05	0.00039798	-5.8163	0.99998	1	-0.85871	0.039495	0.33461	13	1.3381	0.030586	0.43985	3	-4.7687	0.55951	0.82115
"10"	"Alcoholism"	29	-3.0935	0.9967	1	3.0935	0.0032965	0.020519	-10.187	0.36225	0.8762	11	-14.076	0.95409	0.99991	18	-1.9261	0.024936	0.41391
"11"	"Aldosterone synthesis and secretion"	24	-2.5297	0.98927	1	2.5297	0.010733	0.044845	-7.3643	0.23313	0.76949	7	-5.3648	0.50786	0.99991	17	-5.3076	0.14817	0.58527
"12"	"Aldosterone-regulated sodium reabsorption"	16	-0.064942	0.64202	1	0.064942	0.35798	0.57164	-10.428	0.67429	0.99991	6	-3.6802	0.39018	0.99991	10	-10.34	0.77717	0.9829
"13"	"Allograft rejection"	4	0.23723	0.51353	1	-0.23723	0.48647	0.68375	-9.4213	0.88512	0.99991	2	-6.021	0.758	0.99991	2	-7.3027	0.8608	0.9829
"14"	"Alzheimer disease"	113	23.334	0	0	-23.334	1	1	17.962	0	0	90	21.175	0	0	23	-2.0752	0.011246	0.41391
"15"	"Amino sugar and nucleotide sugar metabolism"	27	0.71999	0.4504	1	-0.71999	0.5496	0.74834	-4.7067	0.072219	0.44054	14	-0.63347	0.074243	0.69469	13	-6.1257	0.30166	0.6656
"16"	"Aminoacyl-tRNA biosynthesis"	21	7.3041	1.196e-07	2.6056e-06	-7.3041	1	1	-1.7724	0.026315	0.30869	20	-1.2361	0.045469	0.54927	1	-2.5943	0.52295	0.80744
"17"	"Amoebiasis"	42	-1.9885	0.98224	1	1.9885	0.017764	0.064167	-10.306	0.20611	0.74193	12	-4.1803	0.2879	0.99991	30	-9.5504	0.2143	0.66099
"18"	"Amphetamine addiction"	20	-4.1124	0.9998	1	4.1124	0.00020101	0.0042766	-2.1493	0.037167	0.33435	5	-3.2532	0.38207	0.99991	15	-0.60359	0.014616	0.41391
"19"	"Amyotrophic lateral sclerosis (ALS)"	21	-2.1201	0.97799	1	2.1201	0.022005	0.074573	-2.4338	0.037272	0.33435	7	-1.8874	0.22746	0.99991	14	-1.6462	0.046023	0.46466
"20"	"Antigen processing and presentation"	24	-0.14127	0.70965	1	0.14127	0.29035	0.48658	-8.6765	0.34118	0.86351	10	-2.5884	0.19525	0.99991	14	-9.1725	0.57476	0.8227
"21"	"Apelin signaling pathway"	54	-2.0258	0.98447	1	2.0258	0.015533	0.059221	-16.559	0.58256	0.99991	19	-9.582	0.6122	0.99991	35	-13.508	0.48249	0.80631
"22"	"Apoptosis"	49	-0.17783	0.76542	1	0.17783	0.23458	0.40883	-18.162	0.7858	0.99991	19	-10.525	0.68738	0.99991	30	-14.836	0.72489	0.94563
"23"	"Arachidonic acid metabolism"	15	0.64673	0.44586	1	-0.64673	0.55414	0.75117	-6.4112	0.35867	0.8757	8	-6.7366	0.61287	0.99991	7	-2.1834	0.15669	0.58657
"24"	"Arginine and proline metabolism"	27	5.4343	0.00023849	0.0031625	-5.4343	0.99976	1	-2.1005	0.019154	0.24341	21	-1.9591	0.057684	0.62217	6	-0.79056	0.1152	0.57666
"25"	"Arginine biosynthesis"	11	6.2579	5.4299e-06	0.00010351	-6.2579	0.99999	1	0.1204	0.041944	0.34191	11	0.1204	0.075909	0.69469	0			
"26"	"Arrhythmogenic right ventricular cardiomyopathy (ARVC)"	36	-4.5467	0.99991	1	4.5467	9.0559e-05	0.003069	-9.0227	0.17162	0.69793	12	-10.526	0.81494	0.99991	24	-3.6076	0.025204	0.41391
"27"	"Ascorbate and aldarate metabolism"	6	0.80463	0.33784	1	-0.80463	0.66216	0.85214	-1.9537	0.23283	0.76949	4	0.85452	0.14475	0.94545	2	-4.5925	0.65094	0.89658
"28"	"Asthma"	2	0.35063	0.43871	1	-0.35063	0.56129	0.75416	-6.021	0.75831	0.99991	2	-6.021	0.758	0.99991	0			
"29"	"Autoimmune thyroid disease"	4	0.23723	0.51353	1	-0.23723	0.48647	0.68375	-9.4213	0.88512	0.99991	2	-6.021	0.758	0.99991	2	-7.3027	0.8608	0.9829
"30"	"Autophagy"	56	-1.9648	0.97934	1	1.9648	0.02066	0.071605	-22.468	0.94757	0.99991	17	-12.386	0.82737	0.99991	39	-18.746	0.84873	0.9829
"31"	"Axon guidance"	55	-2.6688	0.99659	1	2.6688	0.0034126	0.020817	-20.32	0.85318	0.99991	22	-18.356	0.98034	0.99991	33	-11.245	0.32698	0.6656
"32"	"B cell receptor signaling pathway"	27	-3.5643	0.99834	1	3.5643	0.001658	0.016313	-16.205	0.89271	0.99991	6	-14.657	0.98844	0.99991	21	-10.54	0.50818	0.80631
"33"	"Bacterial invasion of epithelial cells"	42	-0.40055	0.81008	1	0.40055	0.18992	0.3532	-14.808	0.59141	0.99991	21	-13.049	0.82634	0.99991	21	-7.8921	0.25364	0.66099
"34"	"Basal cell carcinoma"	4	0.23573	0.51397	1	-0.23573	0.48603	0.68375	-12.49	0.97231	0.99991	2	-6.0534	0.76019	0.99991	2	-11.61	0.98574	0.99894
"35"	"Basal transcription factors"	4	-1.1579	0.85365	1	1.1579	0.14635	0.28798	-7.5482	0.77776	0.99991	2	-11.61	0.97197	0.99991	2	0.9352	0.1511	0.58527
"36"	"Base excision repair"	8	-1.1412	0.84708	1	1.1412	0.15292	0.29333	-14.084	0.97613	0.99991	1	-8.2095	0.91769	0.99991	7	-11.953	0.92942	0.9829
"37"	"Bile secretion"	15	-0.95855	0.8494	1	0.95855	0.1506	0.29256	-8.186	0.52068	0.99991	6	-4.5854	0.47267	0.99991	9	-6.8241	0.47511	0.80631
"38"	"Biosynthesis of unsaturated fatty acids"	11	1.3555	0.23469	1	-1.3555	0.76531	0.93368	-4.0021	0.2399	0.7784	7	-3.3569	0.33609	0.99991	4	-2.1961	0.27674	0.6656
"39"	"Bladder cancer"	12	-1.4205	0.9024	1	1.4205	0.097602	0.20673	-10.305	0.7523	0.99991	3	-6.5093	0.76789	0.99991	9	-8.1414	0.60923	0.8574
