""	"Name"	"Genes (tot)"	"Stat (dist.dir.up)"	"p (dist.dir.up)"	"p adj (dist.dir.up)"	"Stat (dist.dir.dn)"	"p (dist.dir.dn)"	"p adj (dist.dir.dn)"	"Stat (non-dir.)"	"p (non-dir.)"	"p adj (non-dir.)"	"Genes (up)"	"Stat (mix.dir.up)"	"p (mix.dir.up)"	"p adj (mix.dir.up)"	"Genes (down)"	"Stat (mix.dir.dn)"	"p (mix.dir.dn)"	"p adj (mix.dir.dn)"
"1"	"ABC transporters"	11	-0.094315	0.58034	0.95057	0.094315	0.41966	0.99471	-15.275	0.88335	0.99974	2	-2.3897	0.18918	0.72436	9	-15.76	0.96438	0.99064
"2"	"AGE-RAGE signaling pathway in diabetic complications"	39	0.63979	0.00013063	0.0099603	-0.63979	0.99987	1	-21.436	0.40952	0.78556	28	-17.052	0.20099	0.72648	11	-13.157	0.71792	0.88041
"3"	"AMPK signaling pathway"	56	-0.11378	0.45654	0.95057	0.11378	0.54346	0.99471	-24.684	0.28614	0.6786	26	-18.841	0.51331	0.99951	30	-16.185	0.20883	0.54195
"4"	"Acute myeloid leukemia"	28	-0.2088	0.71235	0.96956	0.2088	0.28765	0.99471	-22.052	0.8444	0.99974	15	-20.134	0.96549	0.99951	13	-10.737	0.28404	0.58528
"5"	"Adherens junction"	32	0.14992	0.13806	0.6478	-0.14992	0.86194	1	-17.145	0.18871	0.56427	14	-11.437	0.23847	0.78127	18	-12.773	0.32346	0.61396
"6"	"Adipocytokine signaling pathway"	31	0.36419	0.015274	0.2588	-0.36419	0.98473	1	-22.22	0.81294	0.99974	18	-14.699	0.35655	0.89417	13	-17.016	0.92299	0.97716
"7"	"Adrenergic signaling in cardiomyocytes"	57	-0.064145	0.35694	0.95057	0.064145	0.64306	0.99471	-21.814	0.063186	0.35124	31	-13.504	0.013272	0.32181	26	-17.553	0.55295	0.78295
"8"	"African trypanosomiasis"	14	0.23187	0.077633	0.57751	-0.23187	0.92237	1	-9.9862	0.1571	0.51809	5	-2.5959	0.041298	0.40546	9	-10.52	0.55446	0.78295
"9"	"Alanine, aspartate and glutamate metabolism"	16	0.65154	0.00054258	0.027581	-0.65154	0.99946	1	-9.4562	0.073688	0.36752	11	-7.0806	0.050836	0.46029	5	-6.4136	0.34647	0.62957
"10"	"Alcoholism"	29	-0.33124	0.85864	1	0.33124	0.14136	0.84134	-16.722	0.22754	0.62521	14	-16.832	0.82465	0.99951	15	-6.9894	0.021805	0.38113
"11"	"Aldosterone synthesis and secretion"	24	-0.45864	0.9521	1	0.45864	0.0479	0.52381	-14.999	0.24826	0.65949	10	-7.2824	0.078773	0.50806	14	-13.483	0.61501	0.82193
"12"	"Aldosterone-regulated sodium reabsorption"	16	-0.5455	0.98394	1	0.5455	0.016057	0.27207	-12.997	0.37322	0.74192	9	-13.305	0.77515	0.99951	7	-4.564	0.081251	0.42601
"13"	"Allograft rejection"	4	0.28508	0.068134	0.53284	-0.28508	0.93187	1	-9.3909	0.75469	0.99974	3	-6.1039	0.47233	0.98978	1	-8.2095	0.93587	0.97716
"14"	"Alzheimer disease"	113	-0.40341	0.82929	1	0.40341	0.17071	0.84709	-25.011	2.5592e-05	0.0026018	37	-15.808	0.015529	0.32181	76	-19.468	0.00071469	0.070992
"15"	"Amino sugar and nucleotide sugar metabolism"	27	0.074304	0.21563	0.78912	-0.074304	0.78437	1	-13.077	0.043365	0.33913	14	-11.449	0.23959	0.78127	13	-6.9647	0.038359	0.38113
"16"	"Aminoacyl-tRNA biosynthesis"	21	-0.042595	0.42385	0.95057	0.042595	0.57615	0.99471	-14.27	0.27259	0.67763	11	-10.484	0.27616	0.78815	10	-9.6841	0.37066	0.646
"17"	"Amoebiasis"	42	0.47628	0.0030282	0.09236	-0.47628	0.99697	1	-19.028	0.11454	0.4537	20	-13.331	0.15168	0.6818	22	-13.581	0.22094	0.54195
"18"	"Amphetamine addiction"	20	-0.092962	0.51826	0.95057	0.092962	0.48174	0.99471	-11.442	0.074709	0.36752	10	-9.1415	0.19799	0.72436	10	-7.0404	0.12237	0.48934
"19"	"Amyotrophic lateral sclerosis (ALS)"	21	-0.41702	0.93839	1	0.41702	0.061608	0.56941	-11.1	0.056473	0.35124	6	-6.8778	0.25292	0.78815	15	-8.7838	0.076178	0.41693
"20"	"Antigen processing and presentation"	24	-0.15554	0.62176	0.95057	0.15554	0.37824	0.99471	-14.398	0.19132	0.56653	11	-11.233	0.35767	0.89417	13	-9.2303	0.14691	0.49542
"21"	"Apelin signaling pathway"	54	-0.079136	0.39618	0.95057	0.079136	0.60382	0.99471	-25.081	0.39018	0.76131	26	-19.125	0.54877	0.99951	28	-16.401	0.33431	0.61582
"22"	"Apoptosis"	49	0.0047395	0.28258	0.92515	-0.0047395	0.71742	1	-28.542	0.88575	0.99974	24	-25.258	0.98504	0.99951	25	-15.212	0.30069	0.59453
"23"	"Arachidonic acid metabolism"	15	-0.14151	0.61839	0.95057	0.14151	0.38161	0.99471	-11.893	0.28014	0.67763	6	-3.4978	0.04325	0.40546	9	-12.498	0.7782	0.90234
"24"	"Arginine and proline metabolism"	27	0.24206	0.059667	0.51995	-0.24206	0.94033	1	-11.704	0.015474	0.2484	17	-9.5808	0.039137	0.40546	10	-6.7393	0.10418	0.48934
"25"	"Arginine biosynthesis"	11	0.381	0.023322	0.32333	-0.381	0.97668	1	-8.5469	0.16341	0.51916	8	-8.0638	0.2195	0.7657	3	-3.1978	0.1884	0.53695
