""	"Name"	"Genes (tot)"	"Stat (dist.dir.up)"	"p (dist.dir.up)"	"p adj (dist.dir.up)"	"Stat (dist.dir.dn)"	"p (dist.dir.dn)"	"p adj (dist.dir.dn)"	"Stat (non-dir.)"	"p (non-dir.)"	"p adj (non-dir.)"	"Genes (up)"	"Stat (mix.dir.up)"	"p (mix.dir.up)"	"p adj (mix.dir.up)"	"Genes (down)"	"Stat (mix.dir.dn)"	"p (mix.dir.dn)"	"p adj (mix.dir.dn)"
"1"	"ABC transporters"	11	1.579	0.23912	1	-1.579	0.76088	0.93576	-10.184	0.80798	0.99996	8	-9.6022	0.81436	0.97645	3	-3.8206	0.50475	0.99999
"2"	"AGE-RAGE signaling pathway in diabetic complications"	39	-2.7559	0.9951	1	2.7559	0.0049044	0.036499	-14.736	0.71437	0.99996	11	-8.5714	0.7268	0.96722	28	-12.018	0.57102	0.99999
"3"	"AMPK signaling pathway"	56	-0.066775	0.82169	1	0.066775	0.17831	0.36017	-13.116	0.35981	0.94604	27	-8.0878	0.3839	0.86395	29	-10.422	0.42099	0.99999
"4"	"Acute myeloid leukemia"	28	-1.0781	0.88386	1	1.0781	0.11614	0.2731	-16.668	0.9236	0.99996	9	-6.1577	0.57957	0.93693	19	-15.996	0.95084	0.99999
"5"	"Adherens junction"	32	-0.32913	0.79714	1	0.32913	0.20286	0.39008	-10.576	0.44302	0.98758	17	-9.65	0.6749	0.96722	15	-5.1746	0.22907	0.87028
"6"	"Adipocytokine signaling pathway"	31	1.2564	0.46437	1	-1.2564	0.53563	0.7384	-15.421	0.8516	0.99996	16	-6.6193	0.43026	0.86395	15	-15.332	0.96211	0.99999
"7"	"Adrenergic signaling in cardiomyocytes"	57	-4.6561	0.9999	1	4.6561	0.00010069	0.0029126	-6.61	0.026921	0.2737	21	-6.3739	0.34753	0.8629	36	-3.4492	0.015917	0.46766
"8"	"African trypanosomiasis"	14	0.74323	0.4776	1	-0.74323	0.5224	0.73089	-6.6158	0.44654	0.98758	9	-4.1918	0.40775	0.86395	5	-5.4464	0.59402	0.99999
"9"	"Alanine, aspartate and glutamate metabolism"	16	3.2819	0.045949	0.40042	-3.2819	0.95405	1	-1.2053	0.065815	0.39251	10	0.20202	0.095393	0.6439	6	-2.2291	0.24153	0.87028
"10"	"Alcoholism"	29	-0.68241	0.85185	1	0.68241	0.14815	0.31821	-8.1819	0.30318	0.86314	13	-3.3256	0.25122	0.8468	16	-8.0176	0.44099	0.99999
"11"	"Aldosterone synthesis and secretion"	24	-2.244	0.97716	1	2.244	0.022844	0.093491	-6.9478	0.28171	0.82721	11	-9.1805	0.77136	0.96722	13	-0.99531	0.059956	0.61798
