""	"Name"	"Genes (tot)"	"Stat (dist.dir.up)"	"p (dist.dir.up)"	"p adj (dist.dir.up)"	"Stat (dist.dir.dn)"	"p (dist.dir.dn)"	"p adj (dist.dir.dn)"	"Stat (non-dir.)"	"p (non-dir.)"	"p adj (non-dir.)"	"Genes (up)"	"Stat (mix.dir.up)"	"p (mix.dir.up)"	"p adj (mix.dir.up)"	"Genes (down)"	"Stat (mix.dir.dn)"	"p (mix.dir.dn)"	"p adj (mix.dir.dn)"
"1"	"ABC transporters"	11	0.82315	0.39667	1	-0.82315	0.60333	0.81785	-11.71	0.83063	0.99992	8	-11.12	0.91004	0.99826	3	-4.2627	0.48361	0.94831
"2"	"AGE-RAGE signaling pathway in diabetic complications"	39	-0.75497	0.9464	1	0.75497	0.053597	0.19695	-17.351	0.73816	0.99992	17	-11.528	0.76525	0.99826	22	-12.968	0.60478	0.98884
"3"	"AMPK signaling pathway"	56	-0.31135	0.90274	1	0.31135	0.097262	0.28699	-16.979	0.48249	0.97457	25	-9.6941	0.43635	0.96519	31	-14.115	0.49124	0.94831
"4"	"Acute myeloid leukemia"	28	-0.14292	0.82267	1	0.14292	0.17733	0.40975	-17.181	0.89273	0.99992	12	-7.7071	0.53563	0.99826	16	-16.054	0.93711	0.99965
"5"	"Adherens junction"	32	-0.69496	0.90654	1	0.69496	0.093457	0.28222	-10.451	0.25631	0.74453	13	-2.0538	0.092354	0.65527	19	-11.864	0.5683	0.97431
"6"	"Adipocytokine signaling pathway"	31	0.62672	0.60611	1	-0.62672	0.39389	0.64245	-18.366	0.90771	0.99992	10	-6.7831	0.50294	0.97958	21	-17.633	0.93312	0.99965
"7"	"Adrenergic signaling in cardiomyocytes"	57	-3.2772	0.99992	1	3.2772	7.5413e-05	0.0023001	-11.462	0.06759	0.43011	19	-5.957	0.22537	0.85015	38	-9.8254	0.06364	0.63733
"8"	"African trypanosomiasis"	14	0.060311	0.69424	1	-0.060311	0.30576	0.55202	-6.8836	0.33027	0.84649	7	-7.2613	0.64875	0.99826	7	-2.4736	0.13944	0.80097
"9"	"Alanine, aspartate and glutamate metabolism"	16	4.5847	0.00026313	0.0034893	-4.5847	0.99974	1	-1.7173	0.028907	0.28441	14	-2.2551	0.097674	0.65833	2	1.1094	0.11312	0.79773
"10"	"Alcoholism"	29	0.66462	0.54012	1	-0.66462	0.45988	0.69829	-9.5579	0.24409	0.73863	13	-1.0743	0.059395	0.50233	16	-11.899	0.67654	0.99965
"11"	"Aldosterone synthesis and secretion"	24	-2.3047	0.99504	1	2.3047	0.0049626	0.044305	-9.24	0.30941	0.82714	8	-9.256	0.81158	0.99826	16	-4.7716	0.083399	0.7394
"12"	"Aldosterone-regulated sodium reabsorption"	16	-0.028694	0.73747	1	0.028694	0.26253	0.5036	-10.465	0.6008	0.99992	5	0.033785	0.12461	0.72319	11	-12.644	0.86537	0.99965
"13"	"Allograft rejection"	4	-0.12261	0.64939	1	0.12261	0.35061	0.60077	-9.1307	0.87237	0.99992	3	-10.221	0.93889	0.99826	1	-0.55719	0.31666	0.85849
