""	"Name"	"Genes (tot)"	"Stat (dist.dir.up)"	"p (dist.dir.up)"	"p adj (dist.dir.up)"	"Stat (dist.dir.dn)"	"p (dist.dir.dn)"	"p adj (dist.dir.dn)"	"Stat (non-dir.)"	"p (non-dir.)"	"p adj (non-dir.)"	"Genes (up)"	"Stat (mix.dir.up)"	"p (mix.dir.up)"	"p adj (mix.dir.up)"	"Genes (down)"	"Stat (mix.dir.dn)"	"p (mix.dir.dn)"	"p adj (mix.dir.dn)"
"1"	"ABC transporters"	11	0.36575	0.21424	1	-0.36575	0.78576	0.8977	-13.012	0.79912	0.99992	8	-12.007	0.81555	0.95254	3	-5.3096	0.51432	0.99997
"2"	"AGE-RAGE signaling pathway in diabetic complications"	39	-0.93434	0.99367	1	0.93434	0.0063303	0.062282	-19.025	0.49355	0.91788	10	-7.7244	0.26411	0.68162	29	-17.527	0.6419	0.99997
"3"	"AMPK signaling pathway"	56	0.20481	0.31734	1	-0.20481	0.68266	0.86431	-22.137	0.39727	0.81719	27	-12.919	0.16529	0.60456	29	-18.296	0.72347	0.99997
"4"	"Acute myeloid leukemia"	28	-0.4793	0.89348	1	0.4793	0.10652	0.36099	-20.332	0.88382	0.99992	8	-6.0593	0.21353	0.65611	20	-20.225	0.96864	0.99997
"5"	"Adherens junction"	32	0.082155	0.44153	1	-0.082155	0.55847	0.79225	-14.932	0.23965	0.68172	19	-11.929	0.30808	0.7014	13	-9.0054	0.28536	0.86764
"6"	"Adipocytokine signaling pathway"	31	0.35093	0.203	1	-0.35093	0.797	0.90617	-19.935	0.78214	0.99992	17	-11.798	0.38237	0.77249	14	-16.664	0.94412	0.99997
"7"	"Adrenergic signaling in cardiomyocytes"	57	-0.58471	0.94208	1	0.58471	0.057915	0.24149	-18.685	0.08371	0.4118	28	-14.683	0.28871	0.69099	29	-11.769	0.087617	0.72829
"8"	"African trypanosomiasis"	14	0.35441	0.1933	1	-0.35441	0.8067	0.91127	-7.8305	0.14136	0.54575	8	-5.1928	0.14897	0.60456	6	-5.9652	0.33614	0.919
"9"	"Alanine, aspartate and glutamate metabolism"	16	-0.74217	0.97314	1	0.74217	0.026865	0.16388	-8.4028	0.13179	0.54575	6	-8.7892	0.61978	0.88043	10	-3.8207	0.043304	0.64522
"10"	"Alcoholism"	29	-0.634	0.95494	1	0.634	0.045061	0.22167	-13.999	0.22782	0.68172	11	-13.813	0.84094	0.9597	18	-6.97	0.046089	0.65402
"11"	"Aldosterone synthesis and secretion"	24	0.097152	0.41048	1	-0.097152	0.58952	0.82478	-13.241	0.28009	0.72397	15	-11.309	0.42428	0.7968	9	-7.0223	0.25501	0.85438
"12"	"Aldosterone-regulated sodium reabsorption"	16	-0.035264	0.56389	1	0.035264	0.43611	0.70753	-11.736	0.42809	0.84553	7	-4.5636	0.13125	0.60456	9	-11.623	0.74887	0.99997
"13"	"Allograft rejection"	4	-0.17092	0.68037	1	0.17092	0.31963	0.63295	-9.3163	0.82222	0.99992	1	-8.2095	0.9244	0.96981	3	-6.0177	0.59718	0.99997
"14"	"Alzheimer disease"	113	3.1009	5.5511e-16	2.8218e-14	-3.1009	1	1	-12.467	1.9064e-09	1.9381e-07	91	-10.064	2.9881e-09	2.9782e-07	22	-7.7868	0.037816	0.64522
"15"	"Amino sugar and nucleotide sugar metabolism"	27	-0.9614	0.99287	1	0.9614	0.0071282	0.065882	-9.2716	0.026373	0.3218	9	-7.2196	0.26542	0.68162	18	-6.2503	0.029347	0.64522
"16"	"Aminoacyl-tRNA biosynthesis"	21	0.84881	0.017001	0.34569	-0.84881	0.983	1	-9.1146	0.071005	0.39015	16	-9.6033	0.19041	0.61882	5	-1.5004	0.062702	0.67806
"17"	"Amoebiasis"	42	-1.5091	0.99997	1	1.5091	3.4323e-05	0.0014955	-17.064	0.19347	0.63488	13	-10.055	0.35128	0.73545	29	-13.803	0.22717	0.85438
"18"	"Amphetamine addiction"	20	-0.32272	0.82839	1	0.32272	0.17161	0.47505	-8.3485	0.069493	0.39015	9	-7.4869	0.29119	0.69099	11	-4.4851	0.052864	0.65639
"19"	"Amyotrophic lateral sclerosis (ALS)"	21	-0.20307	0.72122	1	0.20307	0.27878	0.60176	-7.6282	0.028147	0.3218	7	-1.138	0.017298	0.27222	14	-8.5379	0.22411	0.85438
"20"	"Antigen processing and presentation"	24	0.043287	0.46537	1	-0.043287	0.53463	0.76916	-13.725	0.32788	0.74121	12	-8.4777	0.24658	0.677	12	-10.933	0.55057	0.99997
"21"	"Apelin signaling pathway"	54	-0.32634	0.85308	1	0.32634	0.14692	0.43317	-21.964	0.39943	0.81719	26	-15.978	0.51929	0.81336	28	-15.106	0.34735	0.94101
"22"	"Apoptosis"	49	0.027714	0.51285	1	-0.027714	0.48715	0.7392	-25.012	0.83853	0.99992	20	-7.2966	0.02426	0.36132	29	-26.453	0.99877	0.99997
"23"	"Arachidonic acid metabolism"	15	-0.15305	0.68338	1	0.15305	0.31662	0.63295	-10.234	0.31458	0.74121	6	-7.3921	0.46391	0.79788	9	-7.1763	0.2695	0.85438
"24"	"Arginine and proline metabolism"	27	0.15852	0.3734	1	-0.15852	0.6266	0.83861	-8.8607	0.019905	0.26395	14	-7.7979	0.12764	0.60456	13	-4.6773	0.03323	0.64522
"25"	"Arginine biosynthesis"	11	0.0058918	0.53249	1	-0.0058918	0.46751	0.73137	-7.6025	0.23197	0.68172	7	-8.3252	0.48776	0.81336	4	-1.5942	0.092412	0.72829
"26"	"Arrhythmogenic right ventricular cardiomyopathy (ARVC)"	36	-1.7163	1	1	1.7163	2.1414e-06	0.00013062	-13.259	0.064545	0.37144	13	-8.7044	0.22211	0.65611	23	-10.045	0.099838	0.74459
"27"	"Ascorbate and aldarate metabolism"	6	0.17495	0.33331	1	-0.17495	0.66669	0.85091	-4.113	0.17348	0.59369	3	-0.67603	0.079523	0.56613	3	-5.1407	0.49432	0.99997
"28"	"Asthma"	2	-0.14222	0.66687	1	0.14222	0.33313	0.63503	-6.5099	0.70831	0.99992	0				2	-6.5099	0.73534	0.99997
"29"	"Autoimmune thyroid disease"	4	-0.17092	0.68037	1	0.17092	0.31963	0.63295	-9.3163	0.82222	0.99992	1	-8.2095	0.9244	0.96981	3	-6.0177	0.59718	0.99997
"30"	"Autophagy"	56	-0.86218	0.98732	1	0.86218	0.012685	0.096723	-26.887	0.86158	0.99992	21	-16.076	0.6983	0.91376	35	-21.557	0.85203	0.99997
"31"	"Axon guidance"	55	-0.5658	0.93982	1	0.5658	0.060175	0.24149	-25.082	0.7623	0.99992	23	-16.881	0.70715	0.91376	32	-18.571	0.64708	0.99997
"32"	"B cell receptor signaling pathway"	27	-0.86248	0.9863	1	0.86248	0.0137	0.097897	-19.796	0.86514	0.99992	8	-11.061	0.73544	0.92332	19	-16.421	0.80915	0.99997
"33"	"Bacterial invasion of epithelial cells"	42	-0.12932	0.6788	1	0.12932	0.3212	0.63295	-18.802	0.35295	0.75345	17	-14.108	0.64123	0.88763	25	-12.736	0.2468	0.85438
"34"	"Basal cell carcinoma"	4	0.3047	0.23355	1	-0.3047	0.76645	0.89674	-12.367	0.96455	0.99992	2	-5.8801	0.6611	0.89617	2	-11.61	0.98234	0.99997
"35"	"Basal transcription factors"	4	0.49975	0.11168	1	-0.49975	0.88832	0.954	-8.5126	0.75536	0.99992	2	-0.42853	0.11965	0.60456	2	-11.61	0.98234	0.99997
"36"	"Base excision repair"	8	-0.22893	0.73482	1	0.22893	0.26518	0.58187	-16.373	0.99041	0.99992	3	-11.296	0.94983	0.98955	5	-11.961	0.9344	0.99997
"37"	"Bile secretion"	15	0.1398	0.38079	1	-0.1398	0.61921	0.83737	-10.689	0.36328	0.76945	9	-7.4816	0.29067	0.69099	6	-7.7379	0.53856	0.99997
"38"	"Biosynthesis of unsaturated fatty acids"	11	-0.1139	0.64514	1	0.1139	0.35486	0.64809	-8.6979	0.33933	0.74826	5	-4.6836	0.24673	0.677	6	-7.5015	0.51097	0.99997
