	source	target	category	correlation	pvalue	padj
548	ENSP00000418842.3	ENSP00000377770.1	115	0.9316420014094432	4.4877391264296524e-20	1.6761715113586965e-15
662	ENSP00000496880.1	ENSP00000377770.1	115	0.9281183932346724	1.2454709207729866e-19	3.836029368313483e-15
666	ENSP00000496880.1	ENSP00000418842.3	115	0.9337561663143058	2.3689113827847972e-20	9.967970124422845e-16
976	ENSP00000266544.5	ENSP00000377770.1	115	0.9299506694855532	7.373855243675024e-20	2.5030740140625117e-15
981	ENSP00000266544.5	ENSP00000418842.3	115	0.967723749119098	9.143313789051667e-27	4.869171280222988e-21
985	ENSP00000266544.5	ENSP00000496880.1	115	0.9289640591966172	9.795471216660834e-20	3.1522531598223538e-15
1443	ENSP00000268668.6	ENSP00000377770.1	115	0.9619450317124736	2.746942387897115e-25	8.245176988582921e-20
1448	ENSP00000268668.6	ENSP00000418842.3	115	0.9787174066243832	1.618881669332177e-30	3.6444063987363225e-24
1452	ENSP00000268668.6	ENSP00000496880.1	115	0.9322057787174066	3.7923635576511294e-20	1.457106927686309e-15
1460	ENSP00000268668.6	ENSP00000266544.5	115	0.9636363636363636	1.0748734665625244e-25	3.722679782432119e-20
2048	ENSP00000359346.1	ENSP00000377770.1	115	0.941508104298802	1.873197729342177e-21	1.2369630735028004e-16
2053	ENSP00000359346.1	ENSP00000418842.3	115	0.97646229739253	1.31310509441447e-29	2.167767032780771e-23
2057	ENSP00000359346.1	ENSP00000496880.1	115	0.9303735024665256	6.52059271826896e-20	2.266243576146361e-15
2065	ENSP00000359346.1	ENSP00000266544.5	115	0.965045806906272	4.750821442998721e-26	1.944543726372722e-20
2074	ENSP00000359346.1	ENSP00000268668.6	115	0.972938689217759	2.3757506876484142e-28	2.8697983573795952e-22
2465	ENSP00000297564.2	ENSP00000377770.1	115	0.9120507399577168	7.346849512645383e-18	1.0378237574444177e-13
2470	ENSP00000297564.2	ENSP00000418842.3	115	0.9398167723749118	3.3523690764531647e-21	2.0222881849410622e-16
2474	ENSP00000297564.2	ENSP00000496880.1	115	0.9523608174770966	2.798559038791509e-23	4.005832172564892e-18
2482	ENSP00000297564.2	ENSP00000266544.5	115	0.9420718816067654	1.5369260121896689e-21	1.0484572232263787e-16
2491	ENSP00000297564.2	ENSP00000268668.6	115	0.9479915433403806	1.693174737189965e-22	1.7148545758780482e-17
2501	ENSP00000297564.2	ENSP00000359346.1	115	0.9288231148696264	1.0197625983424396e-19	3.260483729833458e-15
2684	ENSP00000292907.3	ENSP00000377770.1	115	0.8832980972515857	2.093249276166649e-15	1.0065100154110371e-11
2688	ENSP00000292907.3	ENSP00000418842.3	115	0.8824524312896405	2.415278326628884e-15	1.1294437122108196e-11
2692	ENSP00000292907.3	ENSP00000496880.1	115	0.9185341789992952	1.5691673433322824e-18	2.9913311277634546e-14
2700	ENSP00000292907.3	ENSP00000266544.5	115	0.9181113460183228	1.74205787729295e-18	3.2557502420459976e-14
2709	ENSP00000292907.3	ENSP00000268668.6	115	0.9130373502466526	5.8542803632225754e-18	8.618901266850409e-14
2719	ENSP00000292907.3	ENSP00000359346.1	115	0.9003523608174772	9.002534664411445e-17	7.869055490894428e-13
2725	ENSP00000292907.3	ENSP00000297564.2	115	0.9230443974630022	4.961693799231359e-19	1.1791433886638127e-14
2753	ENSP00000330737.2	ENSP00000377770.1	115	0.9288231148696264	1.0197625983424396e-19	3.260483729833458e-15
2757	ENSP00000330737.2	ENSP00000418842.3	115	0.9630725863284002	1.476704462327264e-25	4.8115430407494253e-20
2761	ENSP00000330737.2	ENSP00000496880.1	115	0.9250176180408738	2.9322646299830063e-19	7.667566705090338e-15
2769	ENSP00000330737.2	ENSP00000266544.5	115	0.9525017618040874	2.633352398707466e-23	3.813442923026111e-18
2778	ENSP00000330737.2	ENSP00000268668.6	115	0.9682875264270612	6.3498474444955096e-27	3.6147512335236495e-21
2789	ENSP00000330737.2	ENSP00000359346.1	115	0.9620859760394644	2.5445032849817505e-25	7.731251250823721e-20
2795	ENSP00000330737.2	ENSP00000297564.2	115	0.9260042283298096	2.2420149588165614e-19	6.185978820516086e-15
2798	ENSP00000330737.2	ENSP00000292907.3	115	0.9093727977448908	1.3430167492925949e-17	1.6898988676729926e-13
3047	ENSP00000296684.5	ENSP00000377770.1	115	0.9434813248766736	9.289803440110162e-22	6.85675103233586e-17
3052	ENSP00000296684.5	ENSP00000418842.3	115	0.9595489781536292	9.674212362207448e-25	2.419829695706406e-19
3056	ENSP00000296684.5	ENSP00000496880.1	115	0.9244538407329104	3.4127070504996875e-19	8.712276608739691e-15
3064	ENSP00000296684.5	ENSP00000266544.5	115	0.9674418604651164	1.0945204553747527e-26	5.646600017865447e-21
3073	ENSP00000296684.5	ENSP00000268668.6	115	0.968428470754052	5.790708162098477e-27	3.3740159252556928e-21
3084	ENSP00000296684.5	ENSP00000359346.1	115	0.9620859760394644	2.5445032849817505e-25	7.731251250823721e-20
3090	ENSP00000296684.5	ENSP00000297564.2	115	0.9396758280479212	3.516290491564211e-21	2.09312804050952e-16
3093	ENSP00000296684.5	ENSP00000292907.3	115	0.9172656800563778	2.1434883245751e-18	3.8172843268396956e-14
3094	ENSP00000296684.5	ENSP00000330737.2	115	0.9515151515151516	4.016302955166745e-23	5.332759631216259e-18
3369	ENSP00000419656.1	ENSP00000377770.1	115	0.9496828752642704	8.597263181550226e-23	9.995050628618397e-18
3373	ENSP00000419656.1	ENSP00000418842.3	115	0.977448907681466	5.393949785546038e-30	1.1130893646021901e-23
3377	ENSP00000419656.1	ENSP00000496880.1	115	0.92938689217759	8.677364798281817e-20	2.859323218246171e-15
3385	ENSP00000419656.1	ENSP00000266544.5	115	0.9682875264270612	6.3498474444955096e-27	3.6147512335236495e-21
3394	ENSP00000419656.1	ENSP00000268668.6	115	0.9829457364341084	1.6101858755711546e-32	1.5777343985573719e-25
3404	ENSP00000419656.1	ENSP00000359346.1	115	0.9768851303735026	9.01044428411996e-30	1.6527867294525686e-23
3410	ENSP00000419656.1	ENSP00000297564.2	115	0.9482734319943622	1.514720256204492e-22	1.5661425739661056e-17
3413	ENSP00000419656.1	ENSP00000292907.3	115	0.9243128964059196	3.5439959000324998e-19	9.00104587571717e-15
3414	ENSP00000419656.1	ENSP00000330737.2	115	0.970401691331924	1.5220354193734676e-27	1.2158148548455492e-21
