source	target	category	correlation	pvalue	padj	abs	dir
Vo2 Peak	CS activity	115	0.7408033826638478	8.95786921070926e-09	1.7651331946241976e-06	0.7408033826638478	1.0
Liver Fat (%)	CS activity	115	-0.533724340175953	0.0016556347269207	0.0169680694238773	0.533724340175953	-1.0
Liver Fat (%)	Vo2 Peak	115	-0.532624633431085	0.0016997524863923	0.0173012435919707	0.532624633431085	-1.0
Visceral Fat (L)	CS activity	115	-0.5714809384164223	0.0006343005827005	0.0083305162754329	0.5714809384164223	-1.0
Visceral Fat (L)	Vo2 Peak	115	-0.5491202346041055	0.0011348829396898	0.0128353007546157	0.5491202346041055	-1.0
ASAT (L)	CS activity	115	-0.4908357771260997	0.0043396400469717	0.034377558782893	0.4908357771260997	-1.0
ASAT (L)	Vo2 Peak	115	-0.5788123167155426	0.0005193818601242	0.0071779878020094	0.5788123167155426	-1.0
Body fat (L)	CS activity	115	-0.6151026392961877	0.000179428912927	0.003236332660261	0.6151026392961877	-1.0
Body fat (L)	Vo2 Peak	115	-0.6781524926686217	1.999396669335012e-05	0.0006189258211149	0.6781524926686217	-1.0
Relative Body Lean Tissue (L/Kg BW)	CS activity	115	0.6609237536656891	3.830219925615789e-05	0.0010109364780728	0.6609237536656891	1.0
Relative Body Lean Tissue (L/Kg BW)	Vo2 Peak	115	0.8192815249266863	9.850065659946413e-09	1.900663168019568e-06	0.8192815249266863	1.0
Relative Body Fat (L/Kg BW)	CS activity	115	-0.499633431085044	0.0035969274495796	0.029985062546308	0.499633431085044	-1.0
Relative Body Fat (L/Kg BW)	Vo2 Peak	115	-0.6510263929618768	5.46340440585161e-05	0.001322264179504	0.6510263929618768	-1.0
Pectoralis IMAT fraction	Vo2 Peak	115	-0.4684750733137829	0.0068452448913011	0.0477839969089983	0.4684750733137829	-1.0
Quadriceps IMAT	Vo2 Peak	115	-0.5469208211143695	0.00119911630518	0.0133667348611431	0.5469208211143695	-1.0
Vastus Lateralis IMAT	Vo2 Peak	115	-0.5403225806451613	0.0014113149240154	0.0150860781344514	0.5403225806451613	-1.0
Vastus Lateralis CSA	Vo2 Peak	115	0.4857038123167155	0.004831010521045	0.0371529615201338	0.4857038123167155	1.0
Triceps surae IMAT	Vo2 Peak	115	-0.5124633431085044	0.0027111530625661	0.0243833259929945	0.5124633431085044	-1.0
CS activity	ENSP00000309561.3	115	0.8979563072586327	1.447619515402789e-16	1.1597377776631593e-12	0.8979563072586327	1.0
CS activity	ENSP00000296684.5	115	0.871599718111346	1.3826130280552951e-14	4.621412553278945e-11	0.871599718111346	1.0
CS activity	ENSP00000252711.2	115	0.8497533474277661	2.99920195630235e-13	5.479925477225727e-10	0.8497533474277661	1.0
CS activity	ENSP00000458423.2	115	0.8487667371388302	3.4064874513038506e-13	6.062167931860161e-10	0.8487667371388302	1.0
CS activity	ENSP00000429779.1	115	0.8479210711768851	3.796618069783006e-13	6.613618672969158e-10	0.8479210711768851	1.0
