source	target	category	correlation	pvalue	padj	abs	dir
Leg Strength (Nm)	Weight	115	0.8298178551021581	3.3430825992443978e-12	3.7615852581959e-09	0.8298178551021581	1.0
Leg Strength (Nm)	Height	115	0.6247933424120229	5.809625374375266e-06	0.0002429345246594	0.6247933424120229	1.0
Leg Strength (Nm)	BMI	115	0.6290669865541367	4.796943222817238e-06	0.0002103970248196	0.6290669865541367	1.0
Anterior Thigh Volume (L)	Weight	115	0.7919238644575147	6.705932735669935e-08	8.227423757005777e-06	0.7919238644575147	1.0
Anterior Thigh Volume (L)	Height	115	0.6861986103565907	1.4541222906842504e-05	0.000486477849108	0.6861986103565907	1.0
Anterior Thigh Volume (L)	BMI	115	0.4817157017757101	0.005245127111122	0.0394441960158864	0.4817157017757101	1.0
Anterior Thigh Volume (L)	Leg Strength (Nm)	115	0.8936950146627566	5.796508726265523e-12	5.8056672288089155e-09	0.8936950146627566	1.0
Posterior Thigh Volume (L)	Leg Strength (Nm)	115	0.843475073313783	1.354097152513184e-09	4.139166459891216e-07	0.843475073313783	1.0
Posterior Thigh Volume (L)	Anterior Thigh Volume (L)	115	0.9039589442815248	1.3562530029991377e-12	1.830443640367333e-09	0.9039589442815248	1.0
Body lean tissue (L)	Leg Strength (Nm)	115	0.8515395894428153	6.48188109415024e-10	2.343862742124989e-07	0.8515395894428153	1.0
Body lean tissue (L)	Anterior Thigh Volume (L)	115	0.9453812316715544	3.782279197373264e-16	2.5451310280006185e-12	0.9453812316715544	1.0
Relative Body Lean Tissue (L/Kg BW)	Anterior Thigh Volume (L)	115	0.5472873900293255	0.0011881946171564	0.0132841124556701	0.5472873900293255	1.0
Relative Body Fat (L/Kg BW)	Leg Strength (Nm)	115	-0.4662756598240469	0.0071477156449781	0.0492842795983888	0.4662756598240469	-1.0
Relative Body Fat (L/Kg BW)	Anterior Thigh Volume (L)	115	-0.5414222873900293	0.0013738203578732	0.0147881640992855	0.5414222873900293	-1.0
Pectoralis IMAT fraction	Leg Strength (Nm)	115	-0.624266862170088	0.0001343403058117	0.0026035792504963	0.624266862170088	-1.0
Pectoralis IMAT fraction	Anterior Thigh Volume (L)	115	-0.6074046920821115	0.0002272451512985	0.003864404699608	0.6074046920821115	-1.0
Pectoralis CSA	Leg Strength (Nm)	115	0.7793255131964809	1.4782931883913009e-07	1.5012710700190426e-05	0.7793255131964809	1.0
Pectoralis CSA	Anterior Thigh Volume (L)	115	0.8090175953079178	2.0962252893136848e-08	3.3852860690957365e-06	0.8090175953079178	1.0
ES+MF IMAT	Leg Strength (Nm)	115	-0.5788123167155426	0.0005193818601242	0.0071779878020094	0.5788123167155426	-1.0
ES+MF IMAT	Anterior Thigh Volume (L)	115	-0.5681818181818182	0.0006929493074642	0.0088934233297565	0.5681818181818182	-1.0
ES+MF CSA	Leg Strength (Nm)	115	0.6899459290273109	1.2494139890545416e-05	0.0004336642220321	0.6899459290273109	1.0
ES+MF CSA	Anterior Thigh Volume (L)	115	0.7178077199975955	3.7545416222576312e-06	0.0001747757205787	0.7178077199975955	1.0
Quadriceps IMAT	Leg Strength (Nm)	115	-0.5065982404692082	0.0030893352233391	0.0268233610186244	0.5065982404692082	-1.0
Quadriceps IMAT	Anterior Thigh Volume (L)	115	-0.6895161290322581	1.2714907635093855e-05	0.0004394688933221	0.6895161290322581	-1.0
Quadriceps CSA	Leg Strength (Nm)	115	0.876099706744868	5.106318964123174e-11	3.2346286532537564e-08	0.876099706744868	1.0
Quadriceps CSA	Anterior Thigh Volume (L)	115	0.939149560117302	1.833805576114938e-15	9.046846268530943e-12	0.939149560117302	1.0
Vastus Lateralis IMAT	Anterior Thigh Volume (L)	115	-0.5351906158357771	0.0015983668380712	0.0165332203587431	0.5351906158357771	-1.0
Vastus Lateralis CSA	Leg Strength (Nm)	115	0.8328445747800587	3.3657036725634233e-09	8.335222038745604e-07	0.8328445747800587	1.0
Vastus Lateralis CSA	Anterior Thigh Volume (L)	115	0.9109237536656892	4.598479692825262e-13	7.71206169355134e-10	0.9109237536656892	1.0
Triceps surae IMAT	Leg Strength (Nm)	115	-0.5817448680351907	0.0004788370863685	0.0067532628258566	0.5817448680351907	-1.0
Triceps surae IMAT	Anterior Thigh Volume (L)	115	-0.6352639296187683	9.376888102577816e-05	0.0019865100692408	0.6352639296187683	-1.0
Triceps surae CSA	Leg Strength (Nm)	115	0.689579326514544	1.2682226554688013e-05	0.0004389129686	0.689579326514544	1.0
Triceps surae CSA	Anterior Thigh Volume (L)	115	0.8010264903956824	3.660589708554559e-08	5.177270591042343e-06	0.8010264903956824	1.0
Leg Strength (Nm)	ENSP00000453508.1	115	-0.7092318534179	7.095238916405168e-08	8.579869538128779e-06	0.7092318534179	-1.0
Leg Strength (Nm)	ENSP00000349541.4	115	-0.6274841437632136	5.151323225344836e-06	0.0002218205173168	0.6274841437632136	-1.0
Leg Strength (Nm)	ENSP00000255416.4	115	0.5826638477801268	3.327930317850288e-05	0.0009089898991456	0.5826638477801268	1.0
Leg Strength (Nm)	ENSP00000301286.3	115	-0.5760394644115575	4.285025925680826e-05	0.0011003247895152	0.5760394644115575	-1.0
Leg Strength (Nm)	ENSP00000379933.4	115	0.5453136011275547	0.0001292670313952	0.0025294807502589	0.5453136011275547	1.0
Leg Strength (Nm)	ENSP00000261733.2	115	-0.516983791402396	0.0003267136986913	0.005073134659993	0.516983791402396	-1.0
Leg Strength (Nm)	ENSP00000225614.1	115	-0.5164200140944326	0.0003325266652512	0.0051403201554909	0.5164200140944326	-1.0
Leg Strength (Nm)	ENSP00000240139.5	115	0.5134601832276251	0.0003646021441252	0.0055064258623812	0.5134601832276251	1.0
Leg Strength (Nm)	ENSP00000366117.2	115	0.5124735729386892	0.0003758973950855	0.005633799056634	0.5124735729386892	1.0
Leg Strength (Nm)	ENSP00000362413.4	115	0.5081042988019733	0.0004298012135881	0.006227559479395	0.5081042988019733	1.0
Leg Strength (Nm)	ENSP00000258201.4	115	0.5038759689922481	0.0004884844074452	0.0068526233422045	0.5038759689922481	1.0
Leg Strength (Nm)	ENSP00000245503.5	115	0.5007751937984496	0.0005359903353078	0.0073442415185907	0.5007751937984496	1.0
Leg Strength (Nm)	ENSP00000378030.3	115	0.5006342494714588	0.0005382449994146	0.0073672859513962	0.5006342494714588	1.0
