Name	symbol	info1	info2	info3	location	category	cluster	degree
Vastus Lateralis CSA	Vastus Lateralis CSA			Vastus Lateralis CSA	CLINICAL	115	2	614
Posterior Thigh Volume (L)	Posterior Thigh Volume (L)			Posterior Thigh Volume (L)	CLINICAL	115	2	630
Pectoralis IMAT fraction	Pectoralis IMAT fraction			Pectoralis IMAT fraction	CLINICAL	115	0	278
Triceps surae IMAT	Triceps surae IMAT			Triceps surae IMAT	CLINICAL	115	0	325
Body lean tissue (L)	Body lean tissue (L)			Body lean tissue (L)	CLINICAL	115	2	341
Relative Body Lean Tissue (L/Kg BW)	Relative Body Lean Tissue (L/Kg BW)			Relative Body Lean Tissue (L/Kg BW)	CLINICAL	115	2	1900
Triceps surae CSA	Triceps surae CSA			Triceps surae CSA	CLINICAL	115	2	87
Vo2 Peak	Vo2 Peak			Vo2 Peak	CLINICAL	115	2	2408
CS activity	CS activity			CS activity	CLINICAL	115	2	2657
Height	Height			Height	CLINICAL	115	2	196
Weight	Weight			Weight	CLINICAL	115	0	495
Age	Age			Age	CLINICAL	115	0	74
Liver Fat (%)	Liver Fat (%)			Liver Fat (%)	CLINICAL	115	0	613
Quadriceps CSA	Quadriceps CSA			Quadriceps CSA	CLINICAL	115	2	495
Pectoralis CSA	Pectoralis CSA			Pectoralis CSA	CLINICAL	115	2	714
ES+MF IMAT	ES+MF IMAT			ES+MF IMAT	CLINICAL	115	0	613
Body fat (L)	Body fat (L)			Body fat (L)	CLINICAL	115	0	1877
Leg Strength (Nm)	Leg Strength (Nm)			Leg Strength (Nm)	CLINICAL	115	2	376
ES+MF CSA	ES+MF CSA			ES+MF CSA	CLINICAL	115	2	149
Quadriceps IMAT	Quadriceps IMAT			Quadriceps IMAT	CLINICAL	115	0	474
BMI	BMI			BMI	CLINICAL	115	0	274
Relative Body Fat (L/Kg BW)	Relative Body Fat (L/Kg BW)			Relative Body Fat (L/Kg BW)	CLINICAL	115	0	1578
Vastus Lateralis IMAT	Vastus Lateralis IMAT			Vastus Lateralis IMAT	CLINICAL	115	0	528
ASAT (L)	ASAT (L)			ASAT (L)	CLINICAL	115	0	1203
Anterior Thigh Volume (L)	Anterior Thigh Volume (L)			Anterior Thigh Volume (L)	CLINICAL	115	2	388
Visceral Fat (L)	Visceral Fat (L)			Visceral Fat (L)	CLINICAL	115	0	1174
ENSG00000217930	PAM16			ENSG00000217930	GENE	115	0	2197
ENSG00000170153	RNF150			ENSG00000170153	GENE	115	1	1439
ENSG00000105341	DMAC2			ENSG00000105341	GENE	115	0	597
ENSG00000159346	ADIPOR1			ENSG00000159346	GENE	115	1	1647
ENSG00000105583	WDR83OS			ENSG00000105583	GENE	115	0	1610
ENSG00000145907	G3BP1			ENSG00000145907	GENE	115	1	2848
ENSG00000124299	PEPD			ENSG00000124299	GENE	115	0	1562
ENSG00000206422	LRRC30			ENSG00000206422	GENE	115	0	148
ENSG00000242110	AMACR			ENSG00000242110	GENE	115	0	283
ENSG00000163866	SMIM12			ENSG00000163866	GENE	115	0	1328
ENSG00000166317	SYNPO2L			ENSG00000166317	GENE	115	0	2324
ENSG00000163281	GNPDA2			ENSG00000163281	GENE	115	1	2259
ENSG00000196141	SPATS2L			ENSG00000196141	GENE	115	0	2394
ENSG00000103342	GSPT1			ENSG00000103342	GENE	115	1	2810
ENSG00000118972	FGF23			ENSG00000118972	GENE	115	1	1217
ENSG00000204084	INPP5B			ENSG00000204084	GENE	115	1	1849
ENSG00000083454	P2RX5			ENSG00000083454	GENE	115	2	168
ENSG00000173327	MAP3K11			ENSG00000173327	GENE	115	0	1521
ENSG00000184752	NDUFA12			ENSG00000184752	GENE	115	2	844
ENSG00000162073	PAQR4			ENSG00000162073	GENE	115	2	886
ENSG00000182628	SKA2			ENSG00000182628	GENE	115	1	2846
ENSG00000105568	PPP2R1A			ENSG00000105568	GENE	115	0	605
ENSG00000148700	ADD3			ENSG00000148700	GENE	115	1	1503
ENSG00000037474	NSUN2			ENSG00000037474	GENE	115	1	2939
ENSG00000160752	FDPS			ENSG00000160752	GENE	115	0	1364
ENSG00000168958	MFF			ENSG00000168958	GENE	115	0	842
ENSG00000058673	ZC3H11A			ENSG00000058673	GENE	115	1	3375
ENSG00000166741	NNMT			ENSG00000166741	GENE	115	1	413
ENSG00000181789	COPG1			ENSG00000181789	GENE	115	0	1339
ENSG00000089280	FUS			ENSG00000089280	GENE	115	1	2819
ENSG00000100393	EP300			ENSG00000100393	GENE	115	1	2272
ENSG00000196218	RYR1			ENSG00000196218	GENE	115	0	1789
ENSG00000173085	COQ2			ENSG00000173085	GENE	115	2	1198
ENSG00000100359	SGSM3			ENSG00000100359	GENE	115	0	2026
ENSG00000106591	MRPL32			ENSG00000106591	GENE	115	1	1824
ENSG00000183291	SELENOF			ENSG00000183291	GENE	115	1	3015
ENSG00000110075	PPP6R3			ENSG00000110075	GENE	115	1	3040
ENSG00000110880	CORO1C			ENSG00000110880	GENE	115	1	2156
ENSG00000165502	RPL36AL			ENSG00000165502	GENE	115	0	2404
ENSG00000196811	CHRNG			ENSG00000196811	GENE	115	2	126
ENSG00000143294	PRCC			ENSG00000143294	GENE	115	0	2424
ENSG00000205670	SMIM11A			ENSG00000205670	GENE	115	1	1363
ENSG00000185896	LAMP1			ENSG00000185896	GENE	115	0	1260
ENSG00000011028	MRC2			ENSG00000011028	GENE	115	0	1414
ENSG00000185630	PBX1			ENSG00000185630	GENE	115	1	2080
ENSG00000105887	MTPN			ENSG00000105887	GENE	115	1	2734
ENSG00000157077	ZFYVE9			ENSG00000157077	GENE	115	1	1606
ENSG00000126254	RBM42			ENSG00000126254	GENE	115	0	2228
ENSG00000198363	ASPH			ENSG00000198363	GENE	115	1	2971
ENSG00000091136	LAMB1			ENSG00000091136	GENE	115	0	653
ENSG00000124151	NCOA3			ENSG00000124151	GENE	115	1	1933
ENSG00000155367	PPM1J			ENSG00000155367	GENE	115	0	1141
ENSG00000196976	LAGE3			ENSG00000196976	GENE	115	0	1575
ENSG00000052749	RRP12			ENSG00000052749	GENE	115	0	808
ENSG00000038382	TRIO			ENSG00000038382	GENE	115	1	1301
ENSG00000157045	NTAN1			ENSG00000157045	GENE	115	0	1366
ENSG00000023287	RB1CC1			ENSG00000023287	GENE	115	1	2727
ENSG00000146054	TRIM7			ENSG00000146054	GENE	115	0	2067
ENSG00000104969	SGTA			ENSG00000104969	GENE	115	0	2302
ENSG00000036448	MYOM2			ENSG00000036448	GENE	115	0	1955
ENSG00000183751	TBL3			ENSG00000183751	GENE	115	0	1804
ENSG00000124785	NRN1			ENSG00000124785	GENE	115	2	750
ENSG00000010282	HHATL			ENSG00000010282	GENE	115	0	1299
ENSG00000090266	NDUFB2			ENSG00000090266	GENE	115	2	742
ENSG00000140416	TPM1			ENSG00000140416	GENE	115	0	2036
ENSG00000092094	OSGEP			ENSG00000092094	GENE	115	1	977
ENSG00000173267	SNCG			ENSG00000173267	GENE	115	0	1406
ENSG00000020577	SAMD4A			ENSG00000020577	GENE	115	0	1173
ENSG00000113721	PDGFRB			ENSG00000113721	GENE	115	2	480
ENSG00000149016	TUT1			ENSG00000149016	GENE	115	0	1590
ENSG00000114480	GBE1			ENSG00000114480	GENE	115	1	2516
ENSG00000139793	MBNL2			ENSG00000139793	GENE	115	1	2377
ENSG00000148690	FRA10AC1			ENSG00000148690	GENE	115	1	2680
ENSG00000161664	ASB16			ENSG00000161664	GENE	115	0	856
ENSG00000144827	ABHD10			ENSG00000144827	GENE	115	1	1875
ENSG00000127054	INTS11			ENSG00000127054	GENE	115	0	2030
ENSG00000072401	UBE2D1			ENSG00000072401	GENE	115	1	2046
ENSG00000118640	VAMP8			ENSG00000118640	GENE	115	2	310
ENSG00000138709	LARP1B			ENSG00000138709	GENE	115	1	2925
ENSG00000136888	ATP6V1G1			ENSG00000136888	GENE	115	1	1869
ENSG00000075151	EIF4G3			ENSG00000075151	GENE	115	0	2626
ENSG00000169217	CD2BP2			ENSG00000169217	GENE	115	1	1738
ENSG00000004487	KDM1A			ENSG00000004487	GENE	115	0	2724
ENSG00000119402	FBXW2			ENSG00000119402	GENE	115	1	2223
ENSG00000186812	ZNF397			ENSG00000186812	GENE	115	1	2663
ENSG00000011132	APBA3			ENSG00000011132	GENE	115	0	1740
ENSG00000141084	RANBP10			ENSG00000141084	GENE	115	1	1939
ENSG00000258644	SYNJ2BP-COX16			ENSG00000258644	GENE	115	0	33
ENSG00000116353	MECR			ENSG00000116353	GENE	115	2	122
ENSG00000171703	TCEA2			ENSG00000171703	GENE	115	0	1981
ENSG00000184588	PDE4B			ENSG00000184588	GENE	115	0	124
ENSG00000133056	PIK3C2B			ENSG00000133056	GENE	115	2	406
ENSG00000181061	HIGD1A			ENSG00000181061	GENE	115	1	1713
ENSG00000214655	ZSWIM8			ENSG00000214655	GENE	115	0	1798
ENSG00000115902	SLC1A4			ENSG00000115902	GENE	115	0	86
ENSG00000175467	SART1			ENSG00000175467	GENE	115	0	1801
ENSG00000163964	PIGX			ENSG00000163964	GENE	115	1	2009
ENSG00000164900	GBX1			ENSG00000164900	GENE	115	0	118
ENSG00000186141	POLR3C			ENSG00000186141	GENE	115	1	1131
ENSG00000123352	SPATS2			ENSG00000123352	GENE	115	1	2443
ENSG00000138629	UBL7			ENSG00000138629	GENE	115	2	174
ENSG00000164024	METAP1			ENSG00000164024	GENE	115	1	3246
ENSG00000175573	C11orf68			ENSG00000175573	GENE	115	0	2233
ENSG00000140307	GTF2A2			ENSG00000140307	GENE	115	1	2483
ENSG00000064726	BTBD1			ENSG00000064726	GENE	115	1	2245
ENSG00000184007	PTP4A2			ENSG00000184007	GENE	115	1	2978
ENSG00000197958	RPL12			ENSG00000197958	GENE	115	0	2256
ENSG00000198663	C6orf89			ENSG00000198663	GENE	115	1	3135
ENSG00000108528	SLC25A11			ENSG00000108528	GENE	115	2	875
ENSG00000129657	SEC14L1			ENSG00000129657	GENE	115	1	1520
ENSG00000171456	ASXL1			ENSG00000171456	GENE	115	1	2758
ENSG00000126001	CEP250			ENSG00000126001	GENE	115	1	836
ENSG00000072849	DERL2			ENSG00000072849	GENE	115	1	3330
ENSG00000170162	VGLL2			ENSG00000170162	GENE	115	0	190
ENSG00000123146	ADGRE5			ENSG00000123146	GENE	115	0	2367
ENSG00000115446	UNC50			ENSG00000115446	GENE	115	1	2866
ENSG00000165102	HGSNAT			ENSG00000165102	GENE	115	1	2149
ENSG00000181904	C5orf24			ENSG00000181904	GENE	115	1	2443
ENSG00000100100	PIK3IP1			ENSG00000100100	GENE	115	1	233
ENSG00000175115	PACS1			ENSG00000175115	GENE	115	0	1056
ENSG00000100462	PRMT5			ENSG00000100462	GENE	115	1	2446
ENSG00000137076	TLN1			ENSG00000137076	GENE	115	0	1628
ENSG00000147140	NONO			ENSG00000147140	GENE	115	1	3830
ENSG00000105197	TIMM50			ENSG00000105197	GENE	115	2	383
ENSG00000165886	UBTD1			ENSG00000165886	GENE	115	0	2269
ENSG00000166262	FAM227B			ENSG00000166262	GENE	115	1	1896
ENSG00000133961	NUMB			ENSG00000133961	GENE	115	1	2907
ENSG00000137492	THAP12			ENSG00000137492	GENE	115	1	2636
ENSG00000157150	TIMP4			ENSG00000157150	GENE	115	2	429
ENSG00000162599	NFIA			ENSG00000162599	GENE	115	1	2021
ENSG00000010278	CD9			ENSG00000010278	GENE	115	0	443
ENSG00000154153	RETREG1			ENSG00000154153	GENE	115	1	1627
ENSG00000171867	PRNP			ENSG00000171867	GENE	115	1	2454
ENSG00000077942	FBLN1			ENSG00000077942	GENE	115	0	459
ENSG00000104824	HNRNPL			ENSG00000104824	GENE	115	0	1973
ENSG00000167685	ZNF444			ENSG00000167685	GENE	115	0	2284
ENSG00000184990	SIVA1			ENSG00000184990	GENE	115	0	1717
ENSG00000130741	EIF2S3			ENSG00000130741	GENE	115	1	2010
ENSG00000173269	MMRN2			ENSG00000173269	GENE	115	2	581
ENSG00000107341	UBE2R2			ENSG00000107341	GENE	115	1	1981
ENSG00000119335	SET			ENSG00000119335	GENE	115	1	2968
ENSG00000181038	METTL23			ENSG00000181038	GENE	115	1	1899
ENSG00000112078	KCTD20			ENSG00000112078	GENE	115	1	3062
ENSG00000151247	EIF4E			ENSG00000151247	GENE	115	1	2896
ENSG00000127993	RBM48			ENSG00000127993	GENE	115	1	3068
ENSG00000130957	FBP2			ENSG00000130957	GENE	115	0	1091
ENSG00000178096	BOLA1			ENSG00000178096	GENE	115	0	1482
ENSG00000105671	DDX49			ENSG00000105671	GENE	115	0	2400
ENSG00000147853	AK3			ENSG00000147853	GENE	115	1	513
ENSG00000148824	MTG1			ENSG00000148824	GENE	115	2	57
ENSG00000128626	MRPS12			ENSG00000128626	GENE	115	2	1927
ENSG00000099194	SCD			ENSG00000099194	GENE	115	2	352
ENSG00000108826	MRPL27			ENSG00000108826	GENE	115	0	1207
ENSG00000011021	CLCN6			ENSG00000011021	GENE	115	1	2793
ENSG00000124164	VAPB			ENSG00000124164	GENE	115	1	2426
ENSG00000164329	TENT2			ENSG00000164329	GENE	115	1	3047
ENSG00000165028	NIPSNAP3B			ENSG00000165028	GENE	115	2	401
ENSG00000103051	COG4			ENSG00000103051	GENE	115	0	2281
ENSG00000180964	TCEAL8			ENSG00000180964	GENE	115	1	1666
ENSG00000242372	EIF6			ENSG00000242372	GENE	115	0	2008
ENSG00000091542	ALKBH5			ENSG00000091542	GENE	115	0	1556
ENSG00000155508	CNOT8			ENSG00000155508	GENE	115	1	2791
ENSG00000166387	PPFIBP2			ENSG00000166387	GENE	115	1	1391
ENSG00000173614	NMNAT1			ENSG00000173614	GENE	115	1	904
ENSG00000180881	CAPS2			ENSG00000180881	GENE	115	1	2788
ENSG00000188130	MAPK12			ENSG00000188130	GENE	115	0	2131
ENSG00000158850	B4GALT3			ENSG00000158850	GENE	115	1	1641
ENSG00000102226	USP11			ENSG00000102226	GENE	115	0	1223
ENSG00000175324	LSM1			ENSG00000175324	GENE	115	0	2634
ENSG00000132664	POLR3F			ENSG00000132664	GENE	115	1	2621
ENSG00000205903	ZNF316			ENSG00000205903	GENE	115	1	2040
ENSG00000130559	CAMSAP1			ENSG00000130559	GENE	115	1	975
