""	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"gene"	"count"	"sca.t"	"sca.P.Value"	"sca.adj.pval"	"name"
"ENSP00000379933.4"	-0.352210620432778	-0.00146632562756572	-5.7317034399513	1.34101541292764e-06	0.00323426743731682	5.16847108704415	"ENSP00000379933.4"	209	-5.77271030916486	1.14717905175447e-06	0.00260926036188594	"TPI1"
"ENSP00000301149.3"	-0.493348806545056	0.00750823843878506	-5.57705536642189	2.18384026827605e-06	0.00323426743731682	4.7312745107472	"ENSP00000301149.3"	83	-5.63719241816881	1.76182333685749e-06	0.00260926036188594	"GPD1"
"ENSP00000246151.4"	0.615496284822055	-0.0265392945770254	5.44355452550007	3.32538080932792e-06	0.00328325931907644	4.35392339331926	"ENSP00000246151.4"	2	5.44406293164077	3.24473138614426e-06	0.0032036314552531	"PITHD1"
"ENSP00000453508.1"	0.222211048269387	0.013981826332939	5.07610551550512	1.05348272120216e-05	0.00539179318948188	3.31785310156321	"ENSP00000453508.1"	36	5.29687545075553	5.16271349028827e-06	0.00382298933955847	"TLN2"
"ENSP00000494518.1"	0.287306388692477	0.0577492796887844	5.06456102306981	1.09219308362226e-05	0.00539179318948188	3.28540779472883	"ENSP00000494518.1"	7	5.17764750106637	7.51419498086358e-06	0.00445140910666358	"DDX3X"
"ENSP00000360939.5"	-0.317304240085339	0.079688489857206	-4.96169066198945	1.50569253500127e-05	0.00637123041239107	2.99670172099085	"ENSP00000360939.5"	11	-5.07361235267881	1.04176378798901e-05	0.00450327507809301	"CMPK1"
"ENSP00000411825.2"	-0.572054474428105	0.156769842318275	-5.10663101314104	9.57561072350971e-06	0.00539179318948188	3.40368395749775	"ENSP00000411825.2"	1	-5.06680442027855	1.0642446166999e-05	0.00450327507809301	"PDCD6IP"
"ENSP00000476028.1"	-0.247635621543931	0.0419191360915475	-4.81688166214581	2.36205018507091e-05	0.00874549081022504	2.59174689259092	"ENSP00000476028.1"	24	-4.9812451637709	1.39131195347731e-05	0.00515133250774974	"LAP3"
"ENSP00000261733.2"	0.418126138763874	0.0183111341729628	4.56189326037036	5.18897692976255e-05	0.0170774996288407	1.88403919890894	"ENSP00000261733.2"	40	4.6186632872654	4.29498934983962e-05	0.0141352871713611	"ALDH2"
"ENSP00000474609.1"	0.491969791048035	-0.0697174717098221	4.52187471477786	5.86648728654346e-05	0.0173765353427417	1.77372209642095	"ENSP00000474609.1"	2	4.52087528210494	5.80418544845402e-05	0.015859489603251	"TAF15"
"ENSP00000360125.3"	-0.322790042314227	0.025780479671507	-4.4315340164115	7.73219171500077e-05	0.0208206835089384	1.52555561109354	"ENSP00000360125.3"	15	-4.5161112016202	5.8897496838542e-05	0.015859489603251	"PGM1"
"ENSP00000365569.3"	0.332791111373223	-0.0626482763072199	4.28263903260667	0.000121526069835426	0.0277832061189004	1.11945200313203	"ENSP00000365569.3"	5	4.32795195589062	0.000104671309469835	0.0258363682208043	"FLOT1"
"ENSP00000324105.6"	-0.342009979738467	-0.00348408818247285	-4.28151855693207	0.000121938446841899	0.0277832061189004	1.11641085390907	"ENSP00000324105.6"	511	-4.26094530429402	0.000128265014351323	0.0292246901929706	"ENO3"
"ENSP00000362933.2"	0.198918220929355	0.0426708746436271	4.11462621759614	0.000201413550434569	0.0372866835241997	0.666184511414611	"ENSP00000362933.2"	6	4.22147264234037	0.000144523659565596	0.029492868884242	"ANK3"
"ENSP00000410833.2"	-0.317778498825126	-0.0214316930116497	-4.12546099278685	0.000194990661017172	0.0372866835241997	0.695239934123111	"ENSP00000410833.2"	19	-4.19714317862165	0.000155531689227781	0.029492868884242	"GBE1"
"ENSP00000258201.4"	-0.233532954998825	0.039577030073266	-4.08493740350108	0.000220089894184164	0.0383474274454997	0.58669932289992	"ENSP00000258201.4"	44	-4.18917250756242	0.000159313268787263	0.029492868884242	"FHOD1"
"ENSP00000290573.2"	0.515428638115997	-0.0376257560404141	4.13033776780548	0.00019216537916142	0.0372866835241997	0.708326115157673	"ENSP00000290573.2"	5	4.15745253117287	0.000175273099430169	0.030538760030127	"HK2"
"ENSP00000312771.5"	-0.202164609308771	0.0777401556028255	-3.96291576199104	0.000316220389318197	0.0446021330076429	0.262120131278071	"ENSP00000312771.5"	8	-4.07875253360782	0.000221917356873663	0.0346614217752245	"GPHN"
"ENSP00000297785.3"	-0.599100258718623	-0.050009901059214	-4.0343365815632	0.00025588534019753	0.0413399078515282	0.451680047818976	"ENSP00000297785.3"	44	-4.06315489535494	0.000232504609158578	0.0346614217752245	"ALDH1A1"
"ENSP00000297373.2"	-0.478700099773114	-0.0486561767023209	-4.02232984314552	0.000265178342059094	0.0413399078515282	0.419728234022387	"ENSP00000297373.2"	15	-4.0609496431326	0.000234040660197329	0.0346614217752245	"PHKG1"
"ENSP00000246957.5"	0.244781332368849	0.0333710636675024	3.88714470058778	0.000395329736806116	0.049492560789606	0.0623823437229243	"ENSP00000246957.5"	22	3.9803144587331	0.00029752739831013	0.0395530996967447	"TRAP1"
"ENSP00000265062.3"	0.170120723632105	-0.00530922164298621	3.81731124382183	0.000485041510075265	0.0513104626015334	-0.120383955851568	"ENSP00000265062.3"	10	3.97716887704142	0.000300316962791958	0.0395530996967447	"RAB7A"
"ENSP00000445408.2"	-0.168736564692668	-0.0172323148847957	-3.85055011173496	0.000440119771779037	0.0513104626015334	-0.0335544346267911	"ENSP00000445408.2"	6	-3.96960343314068	0.000307130753890995	0.0395530996967447	"RABEP1"
"ENSP00000366525.2"	-0.872921692551477	-0.180727390483705	-3.92031190825573	0.000358581504803987	0.0482781098740641	0.149634827834609	"ENSP00000366525.2"	4	-3.93799860754348	0.000337257891410357	0.0416232447648949	"FTL"
"ENSP00000222005.1"	0.245663434148364	0.0195150160619975	3.83996807972846	0.000453964443090906	0.0513104626015334	-0.0612301410472647	"ENSP00000222005.1"	8	3.91615887462137	0.000359735039918744	0.0426214075295728	"CDC37"
"ENSP00000037243.2"	0.29586719791784	0.011417359927229	3.88227852247989	0.000401020073919833	0.049492560789606	0.0496048404219414	"ENSP00000037243.2"	3	3.89521290238603	0.000382655864317639	0.0435933334657249	"GABARAPL2"
"ENSP00000258415.4"	-0.281292636304734	-0.035139225922035	-3.96522673047181	0.000314067430155604	0.0446021330076429	0.268234545291271	"ENSP00000258415.4"	1	-3.86714633380252	0.000415602429920275	0.045204760585318	"CYP27A1"
"ENSP00000338191.4"	0.263650210991712	0.0136106340830061	3.82352814133304	0.000476314631405367	0.0513104626015334	-0.104166407191251	"ENSP00000338191.4"	4	3.85767953313808	0.000427323867788286	0.045204760585318	"SNTB2"
"ENSP00000273550.7"	-0.583209165643201	-0.0739871033403978	-3.79276373789504	0.00052103839678112	0.0514438577088559	-0.184315287357569	"ENSP00000273550.7"	16	-3.82069643749083	0.000476264799138403	0.0477003265308758	"FTH1"
"ENSP00000362413.4"	-0.339911180520835	0.0248568738614304	-3.79346472917702	0.000519975456342873	0.0514438577088559	-0.182491947607165	"ENSP00000362413.4"	198	-3.815810993104	0.000483122821041956	0.0477003265308758	"PGK1"
"ENSP00000468585.1"	-0.426191804885397	-0.00874332498717247	-3.74938823089785	0.00059106629488252	0.0530526777406674	-0.296869449183041	"ENSP00000468585.1"	10	-3.78535961280592	0.000528076493749241	0.0504568572414598	"DHRS7B"
"ENSP00000384296.2"	-0.328474557460419	0.0345505225501387	-3.7222703844558	0.000639384661115495	0.0557016872418852	-0.366963017840649	"ENSP00000384296.2"	9	-3.7700993636548	0.000552102178616668	0.0510937711304275	"ACY1"
"ENSP00000295448.3"	-0.435101389681245	-0.0318171037355605	-3.76942332575768	0.000557656886498026	0.0516181155564735	-0.244947076010504	"ENSP00000295448.3"	1	-3.74257947349326	0.0005981295454935	0.0510937711304275	"GNPDA2"
"ENSP00000465585.1"	0.213523925967251	0.0143557456395453	3.64594145350228	0.000796772328663601	0.0621063062500418	-0.563084833172994	"ENSP00000465585.1"	32	3.74086106049641	0.000601123529100748	0.0510937711304275	"LONP1"
"ENSP00000353355.4"	-0.235323884846407	0.0598993178943782	-3.67220410231508	0.000738809210082011	0.0621063062500418	-0.49580338923888	"ENSP00000353355.4"	7	-3.73936529527908	0.000603741387429089	0.0510937711304275	"PTGES3L-AARSD1"
"ENSP00000330918.7"	-0.254399382129306	0.0810357268160461	-3.65807407043473	0.000769469571034965	0.0621063062500418	-0.532028943002409	"ENSP00000330918.7"	9	-3.72514733376494	0.000629182050589054	0.0517677009401327	"PGP"
"ENSP00000297130.4"	-0.218789093990113	-0.00360824097455059	-3.60316258026662	0.000900692955660319	0.0635202984444253	-0.672220305508476	"ENSP00000297130.4"	29	-3.69251484173617	0.000691550961748303	0.0552200111699887	"MYOZ3"
"ENSP00000270776.8"	0.31147883713851	-0.019617502513191	3.61725730797931	0.000865088479152083	0.0624973676889871	-0.636326015859118	"ENSP00000270776.8"	23	3.66974426682469	0.000738564517638859	0.0552200111699887	"PGD"
"ENSP00000317714.3"	-0.195470926789836	-0.0106573714043325	-3.62385266498333	0.000848897614378675	0.0624973676889871	-0.619508425588847	"ENSP00000317714.3"	4	-3.66758421275103	0.000743181176341705	0.0552200111699887	"STX4"
"ENSP00000261448.5"	0.465267790132763	-0.0299878568969624	3.63057143179347	0.000832704304566429	0.0624973676889871	-0.602362112419855	"ENSP00000261448.5"	64	3.65852229977127	0.000762854359761748	0.0552200111699887	"CASQ2"
"ENSP00000301776.5"	-0.743762210246715	0.0511496956848917	-3.65137084255004	0.000784440651033743	0.0621063062500418	-0.549192816856105	"ENSP00000301776.5"	1	-3.65290044273989	0.000775310786001668	0.0552200111699887	"ASRGL1"
"ENSP00000265388.5"	-0.23226061528019	0.0971835543597649	-3.77683867698061	0.000545761032378676	0.0516181155564735	-0.225700713299471	"ENSP00000265388.5"	1	-3.64947428954953	0.000782998132727726	0.0552200111699887	"TNPO3"
"ENSP00000489728.1"	-0.253073425331956	0.0373560499276162	-3.56779007585371	0.000996371956055457	0.0670739484962787	-0.762021803063564	"ENSP00000489728.1"	28	-3.6363213569708	0.000813198162916147	0.0560161153152937	"ADSL"
"ENSP00000371193.4"	-0.389606467842504	0.0407991802267701	-3.57864113427712	0.000966026403306217	0.0665434931765817	-0.734516724287558	"ENSP00000371193.4"	4	-3.60010407036246	0.000902270906089943	0.0607392369054184	"CPPED1"
"ENSP00000354849.2"	0.33599889487164	0.0512876477292816	3.51161720419347	0.00116870517394006	0.0739398427802292	-0.903788409550866	"ENSP00000354849.2"	17	3.55610838809811	0.00102315006256649	0.064479674832254	"MYBPC1"
"ENSP00000355759.5"	0.217280282056516	0.034384418980416	3.46668044666665	0.0013268384080149	0.0770606934223556	-1.0164319717825	"ENSP00000355759.5"	20	3.55098594841756	0.00103819712558691	0.064479674832254	"PARP1"
"ENSP00000310129.4"	-0.129778860500724	0.0205446469372931	-3.34752621786396	0.00185163913867249	0.0853594099494802	-1.31166507681489	"ENSP00000310129.4"	24	-3.54445262885189	0.00105769757263985	0.064479674832254	"PSMD2"
"ENSP00000378368.3"	0.330116162874667	-0.0321204121298514	3.49716284686098	0.00121748406911301	0.0751274325357246	-0.940096727668572	"ENSP00000378368.3"	14	3.5421846169252	0.00106454903097153	0.064479674832254	"FLOT2"
"ENSP00000358307.3"	-0.177844646046378	-0.000771144280105192	-3.45630521085455	0.00136616323919073	0.0778187598939027	-1.04234066648839	"ENSP00000358307.3"	6	-3.53691436676711	0.00108063511170993	0.064479674832254	"NHLRC2"
"ENSP00000439543.1"	0.293746369340001	0.0156135611831918	3.48271593985191	0.00126818758500548	0.0751274325357246	-0.976315131271011	"ENSP00000439543.1"	12	3.53438170845287	0.00108844825847829	0.064479674832254	"CD36"
"ENSP00000226004.2"	-0.208948546885012	0.00391234738492663	-3.4055788362429	0.00157506309541257	0.0853594099494802	-1.16846595138783	"ENSP00000226004.2"	14	-3.49183262598105	0.0012281127770743	0.0710393594416787	"DUSP3"
"ENSP00000321388.5"	-0.411364522342849	0.146830237553369	-3.51024560180821	0.00117325206302187	0.0739398427802292	-0.907236819309497	"ENSP00000321388.5"	1	-3.48639757326122	0.00124714608067768	0.0710393594416787	"ASB4"
"ENSP00000477837.1"	0.276781001744851	0.0596836747326628	3.48548950136929	0.00125829877471248	0.0751274325357246	-0.969367362760055	"ENSP00000477837.1"	2	3.47182853426186	0.00129957244356362	0.0713856738456725	"GTF2I"
"ENSP00000217381.2"	-0.141598056395023	0.0482537750910345	-3.30566376912644	0.00207924698220846	0.0905695523720802	-1.41414792903594	"ENSP00000217381.2"	15	-3.46923958410388	0.00130910723843108	0.0713856738456725	"SNTA1"
"ENSP00000240139.5"	-0.293607500565295	0.117809491726779	-3.52502665556334	0.00112513515259338	0.0739398427802292	-0.870041678248482	"ENSP00000240139.5"	1	-3.46482317285789	0.00132552736715462	0.0713856738456725	"PPP3CC"
"ENSP00000259238.4"	-0.250289984176024	0.0169186881309727	-3.39408797882134	0.00162646375712949	0.0853594099494802	-1.19690858165553	"ENSP00000259238.4"	89	-3.43941676792648	0.00142389084350093	0.0745079347065662	"BIN1"
"ENSP00000356789.3"	-0.211733404674395	-0.0410047184934131	-3.37973467618566	0.00169292488431869	0.0853594099494802	-1.23236895714864	"ENSP00000356789.3"	6	-3.43694822024157	0.00143381238294202	0.0745079347065662	"ATP1B1"
"ENSP00000157812.1"	-0.120529726777736	0.0223802579089309	-3.2116511566834	0.00269144083243737	0.1016180027701	-1.64182454680895	"ENSP00000157812.1"	20	-3.416797927537	0.00151731317597992	0.0774001710324526	"PSMC4"
"ENSP00000368722.5"	-0.560017346792712	-0.0873434031318074	-3.38916026715639	0.00164899449516164	0.0853594099494802	-1.20909115827717	"ENSP00000368722.5"	138	-3.40696585766204	0.00155972697848004	0.0774001710324526	"LDHA"
"ENSP00000347507.3"	0.387323177346927	-0.00802546957990303	3.43659487620009	0.00144396907933083	0.0806988002448664	-1.09145669324141	"ENSP00000347507.3"	1268	3.403225301169	0.00157615907402594	0.0774001710324526	"MYH7"
"ENSP00000261735.3"	0.259849011900508	-0.003753414403242	3.34411926957672	0.00186923537476121	0.0853594099494802	-1.32003030269835	"ENSP00000261735.3"	11	3.39920738120827	0.00159399406920311	0.0774001710324526	"ERP29"
"ENSP00000360305.3"	0.316015985804789	-0.0323788029961825	3.34531495861189	0.00186304176180241	0.0853594099494802	-1.31709497131136	"ENSP00000360305.3"	17	3.38845707786372	0.00164266735704855	0.078477108251255	"PDLIM1"
"ENSP00000370467.6"	0.379529014554096	0.0985279249305613	3.35339116508093	0.00182171775192436	0.0853594099494802	-1.29725445550783	"ENSP00000370467.6"	7	3.38205273384238	0.0016723359201776	0.0786263332629533	"PUDP"
"ENSP00000294724.4"	-0.217782808361042	0.0160255180899319	-3.35222646154586	0.00182762276434044	0.0853594099494802	-1.30011724237574	"ENSP00000294724.4"	211	-3.37466341250927	0.00170720396669098	0.079011533583417	"AGL"
"ENSP00000252595.6"	0.190574002285521	0.0693609449145603	3.27253469302034	0.00227803572659437	0.0951441098123374	-1.4947752169354	"ENSP00000252595.6"	10	3.35660624446314	0.00179535752327872	0.081486973788157	"SLC27A1"
"ENSP00000248070.5"	0.183648795389474	0.0218024612393158	3.26059188630717	0.00235403874294201	0.0966508027233154	-1.52373601643964	"ENSP00000248070.5"	10	3.34939566217557	0.00183175979570021	0.081486973788157	"EPS15L1"
"ENSP00000434586.1"	0.295917955199991	0.000220975752392605	3.32398936453461	0.00197650547449951	0.0873792420219038	-1.36936702997949	"ENSP00000434586.1"	4	3.34715328860484	0.00184322324233846	0.081486973788157	"TTN"
"ENSP00000323421.3"	0.193558657691705	-0.00638626292261734	3.37912683354436	0.00169579597046432	0.0853594099494802	-1.23386899177157	"ENSP00000323421.3"	2	3.34162806049008	0.00187176229666538	0.0814887185402234	"SMC1A"
"ENSP00000368884.3"	-0.177791351275923	0.0291288746686338	-3.23167450273776	0.00254818711959552	0.100636403309892	-1.59362611992265	"ENSP00000368884.3"	11	-3.3263812335378	0.00195271973980292	0.0814887185402234	"RPS6KA3"
"ENSP00000319123.8"	-0.354745330084376	0.0899917761333362	-3.3573690333258	0.00180168718383042	0.0853594099494802	-1.28747323083427	"ENSP00000319123.8"	1	-3.32635069002086	0.00195288522333103	0.0814887185402234	"ANK1"
"ENSP00000299977.3"	-0.426841060650587	0.0537656884279713	-3.34335956082793	0.00187318083953957	0.0853594099494802	-1.32189505516677	"ENSP00000299977.3"	1	-3.3262726238975	0.00195330824319914	0.0814887185402234	"SLFN5"
"ENSP00000263354.2"	0.117576364631444	0.00227590764119352	3.12098120935476	0.00344130508526165	0.114529726545449	-1.85801863545332	"ENSP00000263354.2"	17	3.3204930574135	0.00198487014559793	0.0816553523786261	"NAPA"
"ENSP00000357861.5"	0.361615320608035	-0.0277068312526886	3.27212051763292	0.00228063193675758	0.0951441098123374	-1.49578051025959	"ENSP00000357861.5"	34	3.30487283667872	0.00207262321951597	0.0840973969343327	"SELENBP1"
"ENSP00000325425.6"	0.174612408845808	0.0277494565075174	3.24977156648138	0.00242497692421932	0.0970646168856438	-1.54992636402967	"ENSP00000325425.6"	4	3.28919488262669	0.0021644117883651	0.0866349691505057	"MAT2B"
"ENSP00000333666.3"	-0.286723497718387	-0.00574179159756738	-3.25628906521859	0.00238200830479474	0.0966508027233154	-1.53415643661048	"ENSP00000333666.3"	4	-3.27919357932107	0.00222497507496403	0.0878716822939127	"ADI1"
"ENSP00000366117.2"	-0.235012891461353	-0.0320539817033058	-3.33665746405041	0.00190833361589585	0.08564369954975	-1.33833638170347	"ENSP00000366117.2"	1	-3.25279920711204	0.00239265132020114	0.0932504369794182	"EMC10"
