""	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"gene"	"count"	"sca.t"	"sca.P.Value"	"sca.adj.pval"	"name"
"ENSP00000416479.1"	0.646401589879261	0.0220903183627298	7.66108960587571	3.25276806867065e-09	9.63469901940246e-06	10.9938161973621	"ENSP00000416479.1"	43	7.76387575464745	2.25268020364202e-09	6.67243876318766e-06	"CYCS"
"ENSP00000270538.2"	0.542415489368662	0.0308233398991683	7.12915966779538	1.67172373535269e-08	1.18656343402115e-05	9.44778253368793	"ENSP00000270538.2"	14	7.25176149554163	1.09184914490297e-08	8.58871997133769e-06	"TIMM44"
"ENSP00000291577.6"	0.729750525438734	-0.0432059039318868	7.1223007502662	1.70765342598442e-08	1.18656343402115e-05	9.42766806699684	"ENSP00000291577.6"	37	7.19785727871717	1.29090802872032e-08	8.58871997133769e-06	"GATD3A"
"ENSP00000327268.6"	0.590578593165635	-0.0124079842372336	7.07088737387983	2.00297676235845e-08	1.18656343402115e-05	9.27676135582395	"ENSP00000327268.6"	31	7.17215749887224	1.39832316801663e-08	8.58871997133769e-06	"NDUFV2"
"ENSP00000330787.4"	0.638901699852619	0.0300159111970002	7.09865245525488	1.83760978825096e-08	1.18656343402115e-05	9.35828515373868	"ENSP00000330787.4"	5	7.16053493732613	1.44981768591116e-08	8.58871997133769e-06	"NDUFB1"
"ENSP00000359539.5"	0.465808480792192	0.00719217295070734	6.91816875932618	3.22075121977273e-08	1.5899775188278e-05	8.82719168712219	"ENSP00000359539.5"	156	6.98643838303627	2.49521306626849e-08	1.23180351704788e-05	"GOT1"
"ENSP00000237889.4"	0.468447404205925	8.61079318699057e-05	6.7302292671449	5.79107405794688e-08	2.45045162280552e-05	8.27146462598169	"ENSP00000237889.4"	8	6.84344669646307	3.9036654494662e-08	1.65180815161698e-05	"NDUFB3"
"ENSP00000356972.3"	0.399962706284068	-0.0140995095133237	6.53154061770083	1.07923577532198e-07	3.78085150915713e-05	7.68138930396479	"ENSP00000356972.3"	66	6.65883449235821	6.97003938038585e-08	2.58065708058786e-05	"NDUFS2"
"ENSP00000225174.3"	0.604758274034706	-0.0783207240218115	6.51163756964118	1.14880700818414e-07	3.78085150915713e-05	7.62215375683903	"ENSP00000225174.3"	5	6.56653950953779	9.31983195254773e-08	3.06726024927182e-05	"PPIF"
"ENSP00000306397.3"	0.506217189248378	-0.00175530293400523	6.43528141465375	1.46017282068061e-07	4.32503189485597e-05	7.3947129196528	"ENSP00000306397.3"	61	6.52308643666021	1.06874496139804e-07	3.165622575661e-05	"UQCRFS1"
"ENSP00000315774.5"	0.40889496515615	-0.0194911496138575	6.31646066686029	2.12174881261813e-07	5.2810149012393e-05	7.04024555273995	"ENSP00000315774.5"	19	6.45749621762712	1.31433224259648e-07	3.53913827506435e-05	"NDUFS8"
"ENSP00000233627.9"	0.429178205030823	0.0211385642033737	6.25101832983444	2.60717532732119e-07	5.2810149012393e-05	6.84477627372859	"ENSP00000233627.9"	9	6.36442171895167	1.76323259024558e-07	3.97499155146341e-05	"NDUFS7"
"ENSP00000357873.3"	0.546622292852903	-0.0409370629599883	6.22389160301062	2.83972367005242e-07	5.2810149012393e-05	6.76370823892846	"ENSP00000357873.3"	15	6.31052029027508	2.09059896646177e-07	3.97499155146341e-05	"ACADSB"
"ENSP00000376037.2"	0.520976381881695	-0.0901820990130547	6.21461864109509	2.92389900399219e-07	5.2810149012393e-05	6.7359906752328	"ENSP00000376037.2"	15	6.3072038154155	2.11262694417711e-07	3.97499155146341e-05	"COX6B1"
"ENSP00000418842.3"	0.538912317117682	-0.00593899753473605	6.18744510877857	3.18525417772163e-07	5.2810149012393e-05	6.65475204380244	"ENSP00000418842.3"	21	6.27378281974508	2.34803002983524e-07	3.97499155146341e-05	"NDUFA6"
"ENSP00000492163.1"	0.55298327480637	-0.0411557619299241	6.22590207460257	2.82179658485215e-07	5.2810149012393e-05	6.76971733196115	"ENSP00000492163.1"	4	6.26866967646065	2.38629611263702e-07	3.97499155146341e-05	"GCSH"
"ENSP00000266544.5"	0.535038812911861	-0.0492263538133597	6.15620575081719	3.51478787074011e-07	5.2810149012393e-05	6.56133224950448	"ENSP00000266544.5"	12	6.24117925838293	2.60301144949798e-07	3.97499155146341e-05	"NDUFA9"
"ENSP00000306003.4"	0.593018435821277	-0.0211163299499605	6.1588427186121	3.48569756005777e-07	5.2810149012393e-05	6.56921898677882	"ENSP00000306003.4"	20	6.23373733447155	2.66500117887262e-07	3.97499155146341e-05	"ATP5ME"
"ENSP00000264663.5"	0.620954515300245	-0.0334631790701796	6.149593420472	3.58880795915012e-07	5.2810149012393e-05	6.5415550672463	"ENSP00000264663.5"	29	6.21797271811916	2.801250074067e-07	3.97499155146341e-05	"NNT"
"ENSP00000429779.1"	0.621373019433712	-0.000176065907933604	6.1513115241429	3.56942614487611e-07	5.2810149012393e-05	6.54669394554811	"ENSP00000429779.1"	38	6.21749411224732	2.80549399754343e-07	3.97499155146341e-05	"DECR1"
