""	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"gene"	"count"	"sca.t"	"sca.P.Value"	"sca.adj.pval"	"name"
"ENSP00000370467.6"	0.593668948376737	0.0985279249305613	5.49438603157121	2.83358715734705e-06	0.00839308516006197	4.04542073247578	"ENSP00000370467.6"	7	5.54134676931206	2.38586607682474e-06	0.00706693531955487	"PUDP"
"ENSP00000404421.1"	-0.356030433854035	-0.0367229745915547	-4.58874319914592	4.77822466939962e-05	0.0707655073538083	1.73150593867093	"ENSP00000404421.1"	1	-4.50564827513992	6.08204521993885e-05	0.0900750897072944	"PARL"
"ENSP00000494518.1"	0.223588270495124	0.0577492796887844	4.1283940561204	0.000193286613421852	0.150041785333592	0.578319335400113	"ENSP00000494518.1"	7	4.22057688133703	0.000144915091035695	0.143079499882576	"DDX3X"
"ENSP00000476028.1"	-0.195056092475378	0.0419191360915475	-3.97418411069824	0.000305856464651805	0.150991141383108	0.199239007017198	"ENSP00000476028.1"	24	-4.10979276010114	0.000202228626351053	0.149750297812954	"LAP3"
"ENSP00000258415.4"	-0.278531198745165	-0.035139225922035	-4.11262501343819	0.000202622262435641	0.150041785333592	0.539358943629128	"ENSP00000258415.4"	1	-4.01089870115186	0.000271686538707334	0.160015879527437	"CYP27A1"
"ENSP00000338191.4"	0.255586720713685	0.0136106340830061	3.88248740956914	0.000400774183432268	0.154412087026947	-0.0239773795519378	"ENSP00000338191.4"	4	3.91716541998287	0.000358667856596612	0.160015879527437	"SNTB2"
"ENSP00000377778.3"	-0.276265848129999	-0.0626269778368081	-3.97718680391827	0.000303151024739516	0.150991141383108	0.206577437824587	"ENSP00000377778.3"	1	-3.88423362194916	0.000395230531050282	0.160015879527437	"MIEN1"
"ENSP00000290573.2"	0.456139858173549	-0.0376257560404141	3.82869392460208	0.000469179197583567	0.154412087026947	-0.154090891572599	"ENSP00000290573.2"	5	3.85382846216483	0.000432183334307729	0.160015879527437	"HK2"
"ENSP00000424183.1"	-0.353269332754346	-0.0719566265040963	-3.85437971893881	0.000435211075265914	0.154412087026947	-0.0920429846698285	"ENSP00000424183.1"	1	-3.80820634024149	0.000493988767573315	0.161228340161965	"LAMTOR3"
"ENSP00000445408.2"	-0.152218816838152	-0.0172323148847957	-3.63845929881852	0.000814073201664917	0.219207711211953	-0.608757355438712	"ENSP00000445408.2"	6	-3.75095508559032	0.000583741996571155	0.161228340161965	"RABEP1"
"ENSP00000356789.3"	-0.219270414975233	-0.0410047184934131	-3.66613849820265	0.000751823537832978	0.219207711211953	-0.543165458807339	"ENSP00000356789.3"	6	-3.72820040441083	0.000623633193123842	0.161228340161965	"ATP1B1"
"ENSP00000338413.6"	0.133656505988167	0.0444376517569958	3.53318852605669	0.00109938427197261	0.227876578843022	-0.856329438990977	"ENSP00000338413.6"	43	3.71223234435101	0.00065318706345158	0.161228340161965	"UBA1"
