""	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"gene"	"count"	"sca.t"	"sca.P.Value"	"sca.adj.pval"	"name"
"ENSP00000306887.2"	0.760752421359547	0.0612118974399139	8.07993478598285	9.13693657042685e-10	2.27909698758463e-06	12.2392081289753	"ENSP00000306887.2"	2	8.07017501297522	8.87214123797678e-10	1.40415480785865e-06	"TMEM126A"
"ENSP00000215570.2"	0.537830120936138	0.0299814470851217	7.82910757052011	1.95026680662646e-09	2.27909698758463e-06	11.5181175613969	"ENSP00000215570.2"	5	7.92134458139582	1.39356636666377e-09	1.40415480785865e-06	"TIMM13"
"ENSP00000233627.9"	0.523011224881995	0.0211385642033737	7.77363981052468	2.30833590909989e-09	2.27909698758463e-06	11.3576716566481	"ENSP00000233627.9"	9	7.914665968788	1.42216894786494e-09	1.40415480785865e-06	"NDUFS7"
"ENSP00000429779.1"	0.754629752425749	-0.000176065907933604	7.62341468773917	3.64951335626933e-09	2.70246464031744e-06	10.9214159923311	"ENSP00000429779.1"	38	7.70543578393103	2.69389799204508e-09	1.99483146310938e-06	"DECR1"
"ENSP00000354813.2"	0.732384546487078	-0.00193867954930077	7.29801734154896	9.91572895455833e-09	5.87407783268036e-06	9.96836900626266	"ENSP00000354813.2"	5	7.35383690264018	7.95644442614013e-09	4.11524222680045e-06	"MT-ND5"
"ENSP00000246957.5"	0.43371100177824	0.0333710636675024	7.16700182414282	1.48675937901062e-08	6.29111611518494e-06	9.58176075481542	"ENSP00000246957.5"	22	7.33878545403483	8.33607473355931e-09	4.11524222680045e-06	"TRAP1"
"ENSP00000238688.5"	0.568847097759597	0.0107656150699562	7.16952224257101	1.47519944331628e-08	6.29111611518494e-06	9.58921266899731	"ENSP00000238688.5"	4	7.22290974301239	1.19420650769421e-08	5.05319953684323e-06	"SLIRP"
"ENSP00000297185.3"	0.506110371538218	0.0333968497474116	6.96149485683517	2.81424230061267e-08	8.33578569441471e-06	8.97235601508265	"ENSP00000297185.3"	75	7.05788663760813	1.99627640820289e-08	6.22363046739926e-06	"HSPA9"
"ENSP00000331787.4"	-0.775438170671087	-0.103388752897122	-7.10488951056205	1.80239650859485e-08	6.67337307307244e-06	9.39794461613518	"ENSP00000331787.4"	1	-7.05172217139637	2.03504309695884e-08	6.22363046739926e-06	"METTL7A"
"ENSP00000260665.7"	0.444815920137086	0.0133510764997184	6.92731401342539	3.1302866044771e-08	8.42900811132833e-06	8.87066930916688	"ENSP00000260665.7"	77	7.04147692502491	2.10115815914897e-08	6.22363046739926e-06	"LRPPRC"
"ENSP00000380122.3"	0.527614376402636	-0.0292711066179219	7.01848914977947	2.35704916947178e-08	7.7573107110838e-06	9.1417107303028	"ENSP00000380122.3"	2	6.98929913071658	2.47300663790588e-08	6.65913241952474e-06	"CHCHD4"
"ENSP00000418842.3"	0.584959668960121	-0.00593899753473605	6.85361120764704	3.93885917311949e-08	9.63092188088471e-06	8.65111051308003	"ENSP00000418842.3"	21	6.94924439600182	2.802893988032e-08	6.918476660459e-06	"NDUFA6"
"ENSP00000416479.1"	0.562838317505367	0.0220903183627298	6.80725583511512	4.55209001797387e-08	9.63092188088471e-06	8.51282011381254	"ENSP00000416479.1"	43	6.89858639603935	3.28437181450075e-08	7.35232377291128e-06	"CYCS"
"ENSP00000496880.1"	0.714770092477151	-0.0561389863758859	6.81989327597463	4.37595956848513e-08	9.63092188088471e-06	8.55053574923614	"ENSP00000496880.1"	7	6.88056077665287	3.47510239097765e-08	7.35232377291128e-06	"COX7B"
"ENSP00000357873.3"	0.579268156629934	-0.0409370629599883	6.730613103751	5.78412607014309e-08	1.07078633873524e-05	8.28385558515695	"ENSP00000357873.3"	15	6.8242947124379	4.14523942088487e-08	8.18546610977399e-06	"ACADSB"
"ENSP00000359346.1"	0.540741293848624	-0.0629962268770118	6.63872267562393	7.71184530639196e-08	1.14212428987665e-05	8.00884950716969	"ENSP00000359346.1"	12	6.73649545752955	5.4603529895757e-08	8.99441316878438e-06	"NDUFB8"
"ENSP00000306003.4"	0.627344655477207	-0.0211163299499605	6.64871032345128	7.47430199501221e-08	1.14212428987665e-05	8.03876469054132	"ENSP00000306003.4"	20	6.72956197503361	5.58058303172381e-08	8.99441316878438e-06	"ATP5ME"
"ENSP00000297564.2"	0.636051903206096	-0.0462238678497124	6.63974897434176	7.68709017407149e-08	1.14212428987665e-05	8.01192376267755	"ENSP00000297564.2"	19	6.71903852076745	5.76817281380646e-08	8.99441316878438e-06	"COX6C"
"ENSP00000327268.6"	0.541988308762566	-0.0124079842372336	6.62195809356113	8.12776046501908e-08	1.14640126178031e-05	7.95862299233115	"ENSP00000327268.6"	31	6.71679859778224	5.80891300562833e-08	8.99441316878438e-06	"NDUFV2"
"ENSP00000269980.2"	0.724091471296665	-0.081306082409666	6.63883528012126	7.70912528694369e-08	1.14212428987665e-05	8.00918681447085	"ENSP00000269980.2"	10	6.70264061433225	6.07320267980039e-08	8.99441316878438e-06	"BCKDHA"
"ENSP00000320658.8"	0.578053521492398	-0.0054102724758273	6.76923270931246	5.12625230958998e-08	1.01226395606703e-05	8.39927726012789	"ENSP00000320658.8"	1	6.67050432033828	6.71885982634219e-08	9.26322334501656e-06	"YARS2"
"ENSP00000284971.3"	0.710727422797691	-0.0357000893660195	6.59283268349926	8.90469342223495e-08	1.16338669791895e-05	7.87132582618443	"ENSP00000284971.3"	28	6.6589366312415	6.96780050665835e-08	9.26322334501656e-06	"ATP5PF"
"ENSP00000311245.3"	0.769701545228603	-0.0371632427557086	6.58824426585675	9.03372520328695e-08	1.16338669791895e-05	7.85756874673972	"ENSP00000311245.3"	12	6.64882841348557	7.19291481888525e-08	9.26322334501656e-06	"ATP5MD"
"ENSP00000232125.5"	0.561448703378356	-0.0361827509922747	6.50529025753443	1.17192840991918e-07	1.44635497924192e-05	7.60866290580179	"ENSP00000232125.5"	11	6.59184317894993	8.60593031673347e-08	1.06211523325686e-05	"FAM162A"
"ENSP00000305653.2"	0.519234567532788	-0.000468601611271663	6.44239473350775	1.42789519129018e-07	1.56645390985242e-05	7.41971685561475	"ENSP00000305653.2"	19	6.54067262835265	1.01111966866768e-07	1.19428762131929e-05	"LETM1"
"ENSP00000358737.3"	0.588138617244865	-0.029291978523428	6.4576489421236	1.36107245884724e-07	1.55057562427135e-05	7.46555923553792	"ENSP00000358737.3"	57	6.52920589322765	1.04832809433834e-07	1.19428762131929e-05	"ATP5PB"
"ENSP00000378588.2"	0.635410217718311	-0.0306339186814107	6.48876485819659	1.23434284940663e-07	1.46244940797697e-05	7.55903654990738	"ENSP00000378588.2"	2	6.48348379996609	1.21088628511364e-07	1.26597938559501e-05	"TIMM9"
"ENSP00000216034.4"	0.413453106720741	0.0600353354018777	6.38308936041778	1.72052558526784e-07	1.68099912506166e-05	7.24139475888734	"ENSP00000216034.4"	6	6.47976558510308	1.22517007126593e-07	1.26597938559501e-05	"TOMM22"
"ENSP00000155674.5"	0.405061859250061	-0.00903142421322323	6.34922892313598	1.91388075945735e-07	1.68099912506166e-05	7.13951739165791	"ENSP00000155674.5"	7	6.45905744214487	1.3078743019496e-07	1.26597938559501e-05	"HDHD5"
"ENSP00000309561.3"	0.48479657196976	-0.0185682788940602	6.37575422209997	1.76067591148081e-07	1.68099912506166e-05	7.21932901390358	"ENSP00000309561.3"	6	6.45267165646264	1.33449191504253e-07	1.26597938559501e-05	"MICOS13"
"ENSP00000354429.3"	0.425542128378974	0.00702505564668533	6.31976029546838	2.09983010220396e-07	1.68099912506166e-05	7.05081867087216	"ENSP00000354429.3"	33	6.44089950127589	1.38499535553659e-07	1.26597938559501e-05	"OPA1"
"ENSP00000377446.2"	0.573892088102128	0.0470632015030229	6.34714401062007	1.92647551988617e-07	1.68099912506166e-05	7.13324298634331	"ENSP00000377446.2"	12	6.42767944108056	1.44400194534562e-07	1.26597938559501e-05	"SUCLG1"
"ENSP00000306397.3"	0.488740726199636	-0.00175530293400523	6.34029515527779	1.96843724699166e-07	1.68099912506166e-05	7.1126306707409	"ENSP00000306397.3"	61	6.42680415461525	1.4479966465664e-07	1.26597938559501e-05	"UQCRFS1"
"ENSP00000492163.1"	0.554684816404469	-0.0411557619299241	6.37289639365385	1.77657222985504e-07	1.68099912506166e-05	7.21073144542697	"ENSP00000492163.1"	4	6.41667374388852	1.49504590059236e-07	1.26597938559501e-05	"GCSH"
"ENSP00000266544.5"	0.538978618154116	-0.0492263538133597	6.3284836983339	2.04297061661485e-07	1.68099912506166e-05	7.07707885373089	"ENSP00000266544.5"	12	6.415835141607	1.49900878342781e-07	1.26597938559501e-05	"NDUFA9"
"ENSP00000225665.7"	0.55656775975401	0.0287237130247085	6.32501847533985	2.06536973381965e-07	1.68099912506166e-05	7.06664776941712	"ENSP00000225665.7"	43	6.40285262780118	1.56172149100732e-07	1.26597938559501e-05	"SLC25A11"
"ENSP00000253452.2"	0.442047112827392	-0.00662476475247582	6.29873753170563	2.24346883031345e-07	1.72469668059319e-05	6.98752258932108	"ENSP00000253452.2"	58	6.39888542058601	1.58140571461902e-07	1.26597938559501e-05	"COX4I1"
"ENSP00000169551.6"	0.423856729147256	-0.0318210582433635	6.28758764778151	2.323610545323e-07	1.72469668059319e-05	6.95394602535969	"ENSP00000169551.6"	6	6.3773790787869	1.69253095241453e-07	1.30678682929969e-05	"TIMM21"
