""	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"gene"	"count"	"sca.t"	"sca.P.Value"	"sca.adj.pval"	"name"
"ENSP00000473982.1"	0.566374493370541	-0.021087126548522	6.14830766420768	3.60338146633506e-07	0.000552290407369255	6.50245580290892	"ENSP00000473982.1"	116	6.19994036564729	2.96568297467933e-07	0.000447402904533842	"FABP3"
"ENSP00000373964.4"	-0.699771490424048	-0.0336723139391844	-6.02404797012365	5.3317584232396e-07	0.000552290407369255	6.13832971784236	"ENSP00000373964.4"	4	-6.05782783881647	4.65011833762022e-07	0.000447402904533842	"SMTNL2"
"ENSP00000309561.3"	0.44702512689466	-0.0185682788940602	5.91765080784902	7.45834446143491e-07	0.000552290407369255	5.82625197753876	"ENSP00000309561.3"	6	5.98904165852143	5.78179111959141e-07	0.000447402904533842	"MICOS13"
"ENSP00000246747.4"	0.560450027755573	0.0550410321331383	5.98227528597538	6.08270370438187e-07	0.000552290407369255	6.01583052798172	"ENSP00000246747.4"	2	5.97514684055512	6.04190282962649e-07	0.000447402904533842	"ARL2"
"ENSP00000306887.2"	0.537941724267714	0.0612118974399139	5.75102314389912	1.26172535653375e-06	0.000747446101210596	5.33723438263493	"ENSP00000306887.2"	2	5.74407646896513	1.2560621974436e-06	0.000701065457066859	"TMEM126A"
"ENSP00000429779.1"	0.554640419770175	-0.000176065907933604	5.63991435348922	1.79126585020983e-06	0.000814824638852193	5.01115595820783	"ENSP00000429779.1"	38	5.70059476727353	1.44146016733281e-06	0.000701065457066859	"DECR1"
"ENSP00000233627.9"	0.370791388711563	0.0211385642033737	5.547386380831	2.39787491141563e-06	0.000814824638852193	4.73972754484171	"ENSP00000233627.9"	9	5.64802477015175	1.70244647069536e-06	0.000701065457066859	"NDUFS7"
"ENSP00000238688.5"	0.436159842208092	0.0107656150699562	5.53331913867264	2.50654547521209e-06	0.000814824638852193	4.69847693872797	"ENSP00000238688.5"	4	5.57452273187779	2.14821271484085e-06	0.000701065457066859	"SLIRP"
"ENSP00000221418.3"	0.579850354695215	-0.0350567619770581	5.51186332988521	2.68182210200558e-06	0.000814824638852193	4.63556973047802	"ENSP00000221418.3"	65	5.56126227866109	2.24023116492127e-06	0.000701065457066859	"ECH1"
"ENSP00000262570.5"	0.333023080812217	-0.0337781788493888	5.41004921469312	3.69514893696586e-06	0.000814824638852193	4.33724568600536	"ENSP00000262570.5"	30	5.53062052591221	2.46817513705048e-06	0.000701065457066859	"CHCHD3"
"ENSP00000169551.6"	0.3620745414419	-0.0318210582433635	5.40640195455127	3.73779377034501e-06	0.000814824638852193	4.32656562143038	"ENSP00000169551.6"	6	5.48360939805479	2.86361625850226e-06	0.000701065457066859	"TIMM21"
"ENSP00000256441.4"	0.40213215991283	0.0171505109369004	5.40481802736771	3.75646580032441e-06	0.000814824638852193	4.32192765920957	"ENSP00000256441.4"	5	5.46179836459266	3.06793547659507e-06	0.000701065457066859	"MRPS36"
"ENSP00000297185.3"	0.385587329226272	0.0333968497474116	5.33857558459777	4.62639192565444e-06	0.000814824638852193	4.12805440670324	"ENSP00000297185.3"	75	5.41249574369767	3.58487614133935e-06	0.000701065457066859	"HSPA9"
"ENSP00000350132.5"	-0.558881412835936	0.0785810562661169	-5.4600521401373	3.15709532368697e-06	0.000814824638852193	4.48371591716613	"ENSP00000350132.5"	1	-5.41165299173533	3.59442778092926e-06	0.000701065457066859	"PLN"
"ENSP00000364883.5"	0.585441994132902	-0.0382540940652112	5.35572519927484	4.38359841761303e-06	0.000814824638852193	4.17822812582351	"ENSP00000364883.5"	3	5.3756987242677	4.02641331146974e-06	0.000701065457066859	"AUH"
