""	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"gene"	"count"	"sca.t"	"sca.P.Value"	"sca.adj.pval"	"name"
"ENSP00000255416.4"	1.63966247829714	-0.36625792565866	6.19235168737045	3.13638790457838e-07	0.000928998097336115	6.2936750650709	"ENSP00000255416.4"	19	6.22373388026614	2.75066657309884e-07	0.000814747438951878	"MYBPH"
"ENSP00000265968.3"	0.699663496460554	-0.0349141325779613	5.70202596779304	1.47261687039289e-06	0.00218094558505187	4.95323246122585	"ENSP00000265968.3"	21	5.7521935559125	1.22418814425166e-06	0.00181302264163671	"CSRP3"
"ENSP00000258341.3"	-0.187022790363291	0.0239788677861637	-4.91735066729546	1.72866336765831e-05	0.0128007522375098	2.80356402770167	"ENSP00000258341.3"	52	-5.15326520148651	8.11273255386929e-06	0.00797318681778799	"LAMC1"
"ENSP00000411461.2"	0.988276752209789	-0.264160536305564	5.06103414513737	1.10429816882385e-05	0.0109031039201875	3.19569050989898	"ENSP00000411461.2"	1	5.06308472828457	1.07673015770263e-05	0.00797318681778799	"PANX1"
"ENSP00000348064.4"	-0.502815651850549	0.0211559760018758	-4.83541267666231	2.23006210461082e-05	0.0132108879077145	2.58059069133379	"ENSP00000348064.4"	8	-4.88124178859782	1.90143244227672e-05	0.0112640857880473	"ART3"
"ENSP00000453508.1"	-0.186670127394464	0.013981826332939	-4.43969515180865	7.54209604400054e-05	0.0319138406890423	1.51316834909887	"ENSP00000453508.1"	36	-4.63278633326704	4.11173435429967e-05	0.0202982619290594	"TLN2"
"ENSP00000368808.3"	0.383465787334706	-0.0147985141448044	4.50678798141528	6.14389250912152e-05	0.0303303493533632	1.6928170876192	"ENSP00000368808.3"	9	4.5643879626075	5.07719386335905e-05	0.0214837831760993	"SMPX"
"ENSP00000339399.5"	0.333102483253833	0.040431229687415	4.22172865232229	0.000146048291815808	0.048681433410985	0.934320252388857	"ENSP00000339399.5"	15	4.28848713406449	0.000117995745316215	0.0436879247033287	"CRYZ"
"ENSP00000467141.1"	-0.635672247906229	-0.0779826688123186	-4.21750465783944	0.000147917927312244	0.048681433410985	0.92318269743916	"ENSP00000467141.1"	70	-4.2444087613	0.000134846000885988	0.0443793171804773	"TTN"
"ENSP00000004982.3"	0.362446599593889	-0.0170919955087313	4.02930782998037	0.000259738229080797	0.0699404213215746	0.43048599412685	"ENSP00000004982.3"	35	4.07899198695272	0.000221758543957342	0.0603173793253324	"HSPB6"
"ENSP00000354813.2"	0.405686773205957	-0.00193867954930077	4.04468997418086	0.000248127435307603	0.0699404213215746	0.470482799709867	"ENSP00000354813.2"	5	4.07562615979712	0.000224001071093402	0.0603173793253324	"MT-ND5"
"ENSP00000301286.3"	-0.246814365958538	0.0165143860021866	-3.81585044240869	0.000487114464937818	0.100457349259079	-0.118903918886312	"ENSP00000301286.3"	46	-3.88906198263866	0.000389651912827792	0.0866614438662277	"PLIN4"
"ENSP00000365233.4"	-0.372209592303656	-0.149512519060709	-3.9304297677741	0.000348047727127769	0.0859097806460376	0.174645962306878	"ENSP00000365233.4"	1	-3.88654071674575	0.000392555341828549	0.0866614438662277	"TPP2"
"ENSP00000380251.2"	0.316472978502488	0.00496538351419893	3.81543875561037	0.000487700219656154	0.100457349259079	-0.119952676225009	"ENSP00000380251.2"	5	3.85102564741137	0.000435753718940468	0.0866614438662277	"NUDT19"
"ENSP00000312435.2"	-0.18137628062038	0.0301282010423033	-3.71594774549339	0.000651187561586016	0.100457349259079	-0.372076531417184	"ENSP00000312435.2"	15	-3.84860041477204	0.00043886619108488	0.0866614438662277	"DAG1"
"ENSP00000295640.4"	-0.231880684671803	0.0108704136120268	-3.72309460380602	0.000637861355727279	0.100457349259079	-0.354055526814165	"ENSP00000295640.4"	13	-3.80809610157195	0.00049414801058718	0.0914791504599516	"RNPEP"
"ENSP00000338191.4"	-0.246499212481473	0.0136106340830061	-3.72190289147278	0.000640064987179085	0.100457349259079	-0.357061454673443	"ENSP00000338191.4"	4	-3.75514657615576	0.000576668144483176	0.0917877944752468	"SNTB2"
"ENSP00000331787.4"	-0.412230805349398	-0.103388752897122	-3.77902066851701	0.000542307673798588	0.100457349259079	-0.212550375454031	"ENSP00000331787.4"	1	-3.75074148510416	0.000584104722401911	0.0917877944752468	"METTL7A"
"ENSP00000367948.2"	-0.145563501033219	0.0331217598130199	-3.70743337650153	0.000667415103758162	0.100457349259079	-0.393527054282083	"ENSP00000367948.2"	210	-3.74799941051683	0.000588780585762893	0.0917877944752468	"DMD"
"ENSP00000365152.4"	-0.44504092726766	-0.0401455289075308	-3.66303373947331	0.000758570428042886	0.106994552755382	-0.505050185854818	"ENSP00000365152.4"	15	-3.69584994950458	0.000684912446818212	0.0956644400013636	"MYLK2"
"ENSP00000413001.3"	0.463291402395575	-0.0223438617607374	3.70182974380832	0.000678307557454957	0.100457349259079	-0.407633314526059	"ENSP00000413001.3"	1	3.68424942138339	0.000708272139757915	0.0956644400013636	"AGBL1"
"ENSP00000400238.1"	-0.233606477429633	-0.0173042027060656	-3.61691483872623	0.000865937280701705	0.111593422381273	-0.62028342859721	"ENSP00000400238.1"	8	-3.68314323322307	0.000710539392312626	0.0956644400013636	"PPP1R2"
"ENSP00000363827.3"	-0.1765849897413	0.0152862902198826	-3.56070598884946	0.00101667564721212	0.112058658868595	-0.759859876693814	"ENSP00000363827.3"	114	-3.63108469616117	0.000825531826494996	0.1013605366472	"HSPG2"
"ENSP00000458221.1"	-0.340201687205857	0.00482751280949737	-3.58273081344887	0.000954821847158306	0.112058658868595	-0.70528407344001	"ENSP00000458221.1"	21	-3.62579300506055	0.000838178173586251	0.1013605366472	"NSF"
"ENSP00000410910.2"	0.659328020640049	-0.0418617188054595	3.60180319019048	0.000904200586478913	0.111593422381273	-0.657903330402468	"ENSP00000410910.2"	4	3.61866537406848	0.000855507567920326	0.1013605366472	"MUSTN1"
"ENSP00000379801.2"	0.605058467342263	-0.0643974932390203	3.52974286540424	0.00111018555920264	0.113392056081318	-0.836326878380537	"ENSP00000379801.2"	6	3.54953422620994	0.0010425000803283	0.114658349111984	"AMPD3"
"ENSP00000344002.6"	0.197808547438069	0.00920813124916039	3.61633709571928	0.000867371021793823	0.111593422381273	-0.621722967191467	"ENSP00000344002.6"	729	3.52764646251402	0.00110949124745921	0.114658349111984	"FLNC"
"ENSP00000433287.1"	-0.195044962325253	0.036570267037904	-3.45833887545953	0.00135836811240645	0.121080469157609	-1.01148882095941	"ENSP00000433287.1"	111	-3.51522626142342	0.001149325048594	0.114658349111984	"NPEPPS"
"ENSP00000450841.1"	-0.239770560988557	0.0176454717373503	-3.53072709823833	0.00110708987277196	0.113392056081318	-0.833900882395212	"ENSP00000450841.1"	2	-3.50964676424584	0.00116766331573286	0.114658349111984	"ATP6V1D"
"ENSP00000320935.8"	0.325704707725415	0.0265127995775476	3.50839990311604	0.00117939741155765	0.114536739218488	-0.88885780776271	"ENSP00000320935.8"	2	3.50365918647054	0.00118765527395296	0.114658349111984	"SLC2A4"
"ENSP00000287777.4"	0.284348199614617	0.00733683666528749	3.45019312975714	0.00138985008486115	0.121080469157609	-1.03136419226534	"ENSP00000287777.4"	26	3.50000921016101	0.00120000297855216	0.114658349111984	"KLHL40"
"ENSP00000263025.4"	-0.229956122886554	0.0368666340928179	-3.55905428304757	0.00102146650555438	0.112058658868595	-0.763946585237317	"ENSP00000263025.4"	1	-3.46008138102903	0.0013433770238285	0.124346335768125	"MAPK3"
"ENSP00000363390.3"	0.333074644435577	-0.00573045660522549	3.46534486487623	0.0013318390508921	0.121080469157609	-0.994376635957458	"ENSP00000363390.3"	1	3.42815756382331	0.00146968411512618	0.131877984261866	"TRIM63"
"ENSP00000400365.2"	-0.162978766774596	0.0230928095281923	-3.33868027988557	0.00189765804835315	0.151915219978974	-1.30115487780716	"ENSP00000400365.2"	91	-3.41762600284436	0.00151379185175673	0.131877984261866	"LAMA2"
"ENSP00000294360.4"	-0.152343288887991	-0.000826801613708753	-3.27860184566046	0.00224032558286897	0.166876651897432	-1.44466359487884	"ENSP00000294360.4"	10	-3.39621824345261	0.00160738750067543	0.133687241137974	"CZIB"
