Name	symbol	info1	info2	info3	location	category	cluster	degree
CS activity	CS activity			CS activity	CLINICAL	115	2	2657
ENSP00000268668.6	NDUFB10	NADH:ubiquinone oxidoreductase subunit B10 [Source:HGNC Symbol;Acc:HGNC:7696]	ENSG00000140990.15	ENSP00000268668.6	PROTEIN	115	2	2992
ENSP00000347988.2	NDUFA5	NADH:ubiquinone oxidoreductase subunit A5 [Source:HGNC Symbol;Acc:HGNC:7688]	ENSG00000128609.15	ENSP00000347988.2	PROTEIN	115	2	2772
ENSG00000198899	MT-ATP6			ENSG00000198899	GENE	115	2	2936
ENSG00000177971	IMP3			ENSG00000177971	GENE	115	0	2284
ENSG00000123144	TRIR			ENSG00000123144	GENE	115	0	2157
ENSP00000311245.3	ATP5MD	ATP synthase membrane subunit DAPIT [Source:HGNC Symbol;Acc:HGNC:30889]	ENSG00000173915.16	ENSP00000311245.3	PROTEIN	115	2	2870
ENSP00000429779.1	DECR1	2,4-dienoyl-CoA reductase 1 [Source:HGNC Symbol;Acc:HGNC:2753]	ENSG00000104325.7	ENSP00000429779.1	PROTEIN	115	2	2883
Vo2 Peak	Vo2 Peak			Vo2 Peak	CLINICAL	115	2	2408
Relative Body Lean Tissue (L/Kg BW)	Relative Body Lean Tissue (L/Kg BW)			Relative Body Lean Tissue (L/Kg BW)	CLINICAL	115	2	1900
ENSG00000171135	JAGN1			ENSG00000171135	GENE	115	0	3001
Liver Fat (%)	Liver Fat (%)			Liver Fat (%)	CLINICAL	115	0	613
ENSP00000262570.5	CHCHD3	coiled-coil-helix-coiled-coil-helix domain containing 3 [Source:HGNC Symbol;Acc:HGNC:21906]	ENSG00000106554.13	ENSP00000262570.5	PROTEIN	115	2	2776
ENSG00000186352	ANKRD37			ENSG00000186352	GENE	115	0	2667
ENSP00000292907.3	COX7A1	cytochrome c oxidase subunit 7A1 [Source:HGNC Symbol;Acc:HGNC:2287]	ENSG00000161281.11	ENSP00000292907.3	PROTEIN	115	2	3010
