Name	symbol	info1	info2	info3	location	category	cluster	degree
ENSP00000349541.4	CAVIN1	caveolae associated protein 1 [Source:HGNC Symbol;Acc:HGNC:9688]	ENSG00000177469.13	ENSP00000349541.4	PROTEIN	115	2	449
ES+MF IMAT	ES+MF IMAT			ES+MF IMAT	CLINICAL	115	0	613
ENSP00000360798.3	EPS15	epidermal growth factor receptor pathway substrate 15 [Source:HGNC Symbol;Acc:HGNC:3419]	ENSG00000085832.17	ENSP00000360798.3	PROTEIN	115	0	985
ENSP00000295598.5	ATP1A1	ATPase Na+/K+ transporting subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:799]	ENSG00000163399.16	ENSP00000295598.5	PROTEIN	115	2	357
Leg Strength (Nm)	Leg Strength (Nm)			Leg Strength (Nm)	CLINICAL	115	2	376
ENSG00000092964	DPYSL2			ENSG00000092964	GENE	115	2	1243
ENSG00000131067	GGT7			ENSG00000131067	GENE	115	0	1358
ES+MF CSA	ES+MF CSA			ES+MF CSA	CLINICAL	115	2	149
Relative Body Lean Tissue (L/Kg BW)	Relative Body Lean Tissue (L/Kg BW)			Relative Body Lean Tissue (L/Kg BW)	CLINICAL	115	2	1900
ENSP00000359146.4	RTCA	RNA 3'-terminal phosphate cyclase [Source:HGNC Symbol;Acc:HGNC:17981]	ENSG00000137996.13	ENSP00000359146.4	PROTEIN	115	2	104
Triceps surae CSA	Triceps surae CSA			Triceps surae CSA	CLINICAL	115	2	87
ENSP00000357861.5	SELENBP1	selenium binding protein 1 [Source:HGNC Symbol;Acc:HGNC:10719]	ENSG00000143416.21	ENSP00000357861.5	PROTEIN	115	0	232
ENSP00000483655.1	GPX4	glutathione peroxidase 4 [Source:HGNC Symbol;Acc:HGNC:4556]	ENSG00000167468.18	ENSP00000483655.1	PROTEIN	115	0	105
ENSG00000196230	TUBB			ENSG00000196230	GENE	115	0	1683
Posterior Thigh Volume (L)	Posterior Thigh Volume (L)			Posterior Thigh Volume (L)	CLINICAL	115	2	630
ENSP00000378030.3	CAMK2D	calcium/calmodulin dependent protein kinase II delta [Source:HGNC Symbol;Acc:HGNC:1462]	ENSG00000145349.17	ENSP00000378030.3	PROTEIN	115	0	157
ENSP00000424940.3	HSD17B4	hydroxysteroid 17-beta dehydrogenase 4 [Source:HGNC Symbol;Acc:HGNC:5213]	ENSG00000133835.17	ENSP00000424940.3	PROTEIN	115	2	874
ENSG00000198729	PPP1R14C			ENSG00000198729	GENE	115	0	1474
ENSG00000104872	PIH1D1			ENSG00000104872	GENE	115	0	2199
ENSP00000338413.6	UBA1	ubiquitin like modifier activating enzyme 1 [Source:HGNC Symbol;Acc:HGNC:12469]	ENSG00000130985.17	ENSP00000338413.6	PROTEIN	115	0	934
ENSP00000317714.3	STX4	syntaxin 4 [Source:HGNC Symbol;Acc:HGNC:11439]	ENSG00000103496.15	ENSP00000317714.3	PROTEIN	115	0	1563
ENSP00000476028.1	LAP3	leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449]	ENSG00000002549.12	ENSP00000476028.1	PROTEIN	115	2	887
Pectoralis CSA	Pectoralis CSA			Pectoralis CSA	CLINICAL	115	2	714
ENSG00000150687	PRSS23			ENSG00000150687	GENE	115	2	916
Vastus Lateralis IMAT	Vastus Lateralis IMAT			Vastus Lateralis IMAT	CLINICAL	115	0	528
ENSP00000432651.1	SMTNL1	smoothelin like 1 [Source:HGNC Symbol;Acc:HGNC:32394]	ENSG00000214872.8	ENSP00000432651.1	PROTEIN	115	0	1147
ENSG00000004468	CD38			ENSG00000004468	GENE	115	0	2421
